Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7550      0.00        0.00    0.062500     0.000     0.000    76.080    24.382     0b111    20190411T172200526565
  120      -4.5063      0.00        0.00    0.059056     0.019     0.063    76.304    24.413     0b111    20190411T172201485073
  110      -4.1300      0.00        0.00    0.053875     0.000     0.000    76.659    24.413     0b111    20190411T172202440012
  100      -3.7548      0.50        1.25    0.048688     0.000     0.000    77.119    24.413     0b111    20190411T172203398295
   90      -3.3789      0.37        1.25    0.043556     0.019     0.063    77.575    24.413     0b111    20190411T172204352777
   80      -3.0038      0.00        0.00    0.038375     0.000     0.000    78.274    24.413     0b111    20190411T172205308637
   70      -2.6283      0.61        1.25    0.033250     0.000     0.000    79.045    24.413     0b111    20190411T172206263997
   60      -2.2500      0.00        0.00    0.028062     0.000     0.000    80.178    24.413     0b111    20190411T172207218567
   50      -1.8750      0.00        0.00    0.022937     0.000     0.000    81.744    24.413     0b111    20190411T172208172176
   40      -1.4990      0.50        1.25    0.017775     0.031     0.063    84.332    24.413     0b111    20190411T172209127416
   30      -1.1237      0.00        0.00    0.012637     0.025     0.063    88.922    24.413     0b111    20190411T172210083521
   20      -0.7475      0.00        0.00    0.007562     0.000     0.000    98.843    24.413     0b111    20190411T172211047261
   10      -0.3726      0.38        1.25    0.002437     0.000     0.000   152.872    24.382     0b111    20190411T172212007644
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.413     0b111    20190411T172212974627
