Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7801      0.37        1.25    0.055875     0.000     0.000    85.550    24.604     0b111    20190529T114847694513
  120      -4.7275      0.00        0.00    0.055125     0.000     0.000    85.760    24.604     0b111    20190529T114848652734
  110      -4.3328      0.50        1.25    0.049812     0.000     0.000    86.981    24.604     0b111    20190529T114849611310
  100      -3.9387      0.00        0.00    0.044500     0.000     0.000    88.511    24.635     0b111    20190529T114850570328
   90      -3.5450      0.00        0.00    0.039187     0.000     0.000    90.463    24.635     0b111    20190529T114851529422
   80      -3.1513      0.00        0.00    0.033875     0.000     0.000    93.026    24.604     0b111    20190529T114852489282
   70      -2.7563      0.00        0.00    0.028562     0.000     0.000    96.499    24.635     0b111    20190529T114853449907
   60      -2.3598      0.50        1.25    0.023250     0.000     0.000   101.495    24.604     0b111    20190529T114854408145
   50      -1.9663      0.00        0.00    0.017937     0.000     0.000   109.617    24.635     0b111    20190529T114855364589
   40      -1.5712      0.00        0.00    0.012631     0.019     0.063   124.394    24.635     0b111    20190529T114856324838
   30      -1.1775      0.00        0.00    0.007375     0.000     0.000   159.661    24.604     0b111    20190529T114857283476
   20      -0.7826      0.38        1.25    0.002125     0.000     0.000   368.294    24.635     0b111    20190529T114858242795
   10      -0.3887      0.00        0.00    0.000000     0.000     0.000     1.000    24.604     0b111    20190529T114859203319
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.604     0b111    20190529T114900166327
