Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7708      0.61        1.25    0.061437     0.000     0.000    77.652    25.238    0b1111    20190909T152306833593
  120      -4.5825      0.00        0.00    0.058625     0.000     0.000    78.166    25.269    0b1111    20190909T152307797427
  110      -4.2000      0.00        0.00    0.053000     0.000     0.000    79.245    25.269    0b1111    20190909T152308761535
  100      -3.8183      0.61        1.25    0.047375     0.000     0.000    80.596    25.269    0b1111    20190909T152309723152
   90      -3.4364      0.37        1.25    0.041731     0.029     0.062    82.345    25.301    0b1111    20190909T152310687026
   80      -3.0550      0.00        0.00    0.036106     0.029     0.063    84.611    25.301    0b1111    20190909T152311656012
   70      -2.6723      0.50        1.25    0.030488     0.025     0.063    87.651    25.301    0b1111    20190909T152312621854
   60      -2.2875      0.00        0.00    0.024813     0.000     0.000    92.191    25.301    0b1111    20190909T152313583842
   50      -1.9062      0.00        0.00    0.019187     0.000     0.000    99.349    25.333    0b1111    20190909T152314547077
   40      -1.5237      0.00        0.00    0.013563     0.000     0.000   112.350    25.333    0b1111    20190909T152315513434
   30      -1.1425      0.00        0.00    0.007956     0.029     0.063   143.598    25.301    0b1111    20190909T152316473253
   20      -0.7600      0.00        0.00    0.002406     0.031     0.063   315.844    25.333    0b1111    20190909T152317453033
   10      -0.3776      0.38        1.25    0.000000     0.000     0.000     1.000    25.333    0b1111    20190909T152318417805
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.333    0b1111    20190909T152319384374
