Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7863      0.00        0.00    0.085812     0.000     0.000    55.776    25.460    0b1001    20190613T145237353226
  120      -4.5962      0.00        0.00    0.082550     0.025     0.063    55.678    25.491    0b1001    20190613T145238321842
  110      -4.2125      0.00        0.00    0.076025     0.031     0.063    55.409    25.491    0b1001    20190613T145239282918
  100      -3.8292      0.61        1.25    0.069525     0.031     0.062    55.077    25.491    0b1001    20190613T145240242961
   90      -3.4465      0.50        1.25    0.063056     0.019     0.062    54.658    25.523    0b1001    20190613T145241205346
   80      -3.0637      0.00        0.00    0.056563     0.000     0.000    54.166    25.491    0b1001    20190613T145242171202
   70      -2.6803      0.50        1.25    0.050062     0.000     0.000    53.538    25.491    0b1001    20190613T145243137319
   60      -2.2950      0.00        0.00    0.043506     0.019     0.063    52.751    25.491    0b1001    20190613T145244104794
   50      -1.9113      0.00        0.00    0.037019     0.029     0.063    51.629    25.523    0b1001    20190613T145245076388
   40      -1.5275      0.00        0.00    0.030556     0.019     0.063    49.990    25.523    0b1001    20190613T145246042140
   30      -1.1450      0.00        0.00    0.024062     0.000     0.000    47.584    25.523    0b1001    20190613T145247003537
   20      -0.7613      0.00        0.00    0.017625     0.000     0.000    43.191    25.523    0b1001    20190613T145247964234
   10      -0.3788      0.00        0.00    0.011125     0.000     0.000    34.045    25.523    0b1001    20190613T145248925533
    0      -0.0000      0.00        0.00    0.004625     0.000     0.000    -0.000    25.555    0b1001    20190613T145249896444
