Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7629      0.57        1.25    0.088063     0.000     0.000    54.085    24.192    0b1001    20181005T155037035432
  120      -4.5113      0.00        0.00    0.083731     0.029     0.063    53.878    24.192    0b1001    20181005T155038101142
  110      -4.1338      0.00        0.00    0.077375     0.000     0.000    53.425    24.223    0b1001    20181005T155039161818
  100      -3.7575      0.00        0.00    0.071000     0.000     0.000    52.923    24.192    0b1001    20181005T155040212964
   90      -3.3824      0.38        1.25    0.064625     0.000     0.000    52.338    24.223    0b1001    20181005T155041266474
   80      -3.0060      0.50        1.25    0.058294     0.029     0.063    51.566    24.192    0b1001    20181005T155042319456
   70      -2.6288      0.00        0.00    0.051938     0.000     0.000    50.614    24.192    0b1001    20181005T155043372189
   60      -2.2501      0.38        1.25    0.045506     0.019     0.063    49.447    24.192    0b1001    20181005T155044422182
   50      -1.8749      0.37        1.25    0.039181     0.019     0.063    47.851    24.223    0b1001    20181005T155045474281
   40      -1.4987      0.00        0.00    0.032813     0.000     0.000    45.676    24.192    0b1001    20181005T155046527014
   30      -1.1237      0.00        0.00    0.026444     0.019     0.063    42.496    24.192    0b1001    20181005T155047578456
   20      -0.7475      0.00        0.00    0.020125     0.000     0.000    37.143    24.192    0b1001    20181005T155048631083
   10      -0.3725      0.00        0.00    0.013750     0.000     0.000    27.091    24.192    0b1001    20181005T155049682838
    0      -0.0000      0.00        0.00    0.007394     0.029     0.063    -0.000    24.192    0b1001    20181005T155050734438
