Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7750      0.00        0.00    0.039875     0.000     0.000   119.749    26.316       0b0    20190613T154902400814
  120      -4.5829      0.57        1.25    0.037813     0.000     0.000   121.200    26.347       0b0    20190613T154903366856
  110      -4.2000      0.00        0.00    0.033737     0.025     0.063   124.491    26.316       0b0    20190613T154904337826
  100      -3.8188      0.00        0.00    0.029625     0.000     0.000   128.903    26.316       0b0    20190613T154905307425
   90      -3.4375      0.00        0.00    0.025562     0.000     0.000   134.474    26.347       0b0    20190613T154906266371
   80      -3.0554      0.57        1.25    0.021456     0.029     0.062   142.400    26.347       0b0    20190613T154907226108
   70      -2.6737      0.00        0.00    0.017375     0.000     0.000   153.885    26.316       0b0    20190613T154908184965
   60      -2.2887      0.00        0.00    0.013281     0.031     0.062   172.329    26.347       0b0    20190613T154909144616
   50      -1.9065      0.50        1.25    0.009194     0.019     0.063   207.369    26.316       0b0    20190613T154910103838
   40      -1.5250      0.00        0.00    0.005125     0.000     0.000   297.561    26.316       0b0    20190613T154911062459
   30      -1.1438      0.00        0.00    0.001063     0.000     0.000  1076.471    26.316       0b0    20190613T154912020719
   20      -0.7613      0.00        0.00    0.000000     0.000     0.000     1.000    26.316       0b0    20190613T154912975783
   10      -0.3799      0.37        1.25    0.000000     0.000     0.000     1.000    26.316       0b0    20190613T154913937419
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    26.316       0b0    20190613T154914898028
