Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7826      0.38        1.25    0.050413     0.031     0.063    94.870    23.684       0b0    20190528T110524881407
  120      -4.6213      0.00        0.00    0.048713     0.031     0.063    94.868    23.716       0b0    20190528T110525836837
  110      -4.2348      0.50        1.25    0.044687     0.000     0.000    94.764    23.716       0b0    20190528T110526796130
  100      -3.8487      0.00        0.00    0.040687     0.000     0.000    94.593    23.684       0b0    20190528T110527756073
   90      -3.4638      0.00        0.00    0.036687     0.000     0.000    94.412    23.716       0b0    20190528T110528714471
   80      -3.0775      0.00        0.00    0.032675     0.025     0.063    94.185    23.716       0b0    20190528T110529673959
   70      -2.6913      0.00        0.00    0.028663     0.031     0.062    93.894    23.716       0b0    20190528T110530634530
   60      -2.3038      0.00        0.00    0.024625     0.000     0.000    93.553    23.684       0b0    20190528T110531595149
   50      -1.9187      0.00        0.00    0.020625     0.000     0.000    93.030    23.684       0b0    20190528T110532555364
   40      -1.5334      0.57        1.25    0.016625     0.000     0.000    92.233    23.684       0b0    20190528T110533514033
   30      -1.1487      0.00        0.00    0.012625     0.000     0.000    90.990    23.716       0b0    20190528T110534473849
   20      -0.7629      0.57        1.25    0.008688     0.000     0.000    87.813    23.684       0b0    20190528T110535431082
   10      -0.3788      0.00        0.00    0.004687     0.000     0.000    80.800    23.684       0b0    20190528T110536392342
    0      -0.0000      0.00        0.00    0.000687     0.000     0.000    -0.000    23.716       0b0    20190528T110537350663
