Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7588      0.00        0.00    0.090688     0.000     0.000    52.474    29.550    0b1001    20190612T145028927054
  120      -4.7350      0.00        0.00    0.090262     0.025     0.063    52.458    29.550    0b1001    20190612T145029886415
  110      -4.3413      0.00        0.00    0.083500     0.000     0.000    51.991    29.550    0b1001    20190612T145030845849
  100      -3.9463      0.00        0.00    0.076812     0.000     0.000    51.375    29.581    0b1001    20190612T145031808404
   90      -3.5514      0.38        1.25    0.070125     0.000     0.000    50.643    29.550    0b1001    20190612T145032778134
   80      -3.1565      0.50        1.25    0.063438     0.000     0.000    49.758    29.550    0b1001    20190612T145033736280
   70      -2.7612      0.00        0.00    0.056750     0.000     0.000    48.656    29.550    0b1001    20190612T145034694071
   60      -2.3649      0.38        1.25    0.050062     0.000     0.000    47.238    29.581    0b1001    20190612T145035651529
   50      -1.9700      0.00        0.00    0.043375     0.000     0.000    45.418    29.613    0b1001    20190612T145036610020
   40      -1.5757      0.61        1.25    0.036687     0.000     0.000    42.951    29.613    0b1001    20190612T145037569995
   30      -1.1813      0.00        0.00    0.030000     0.000     0.000    39.375    29.581    0b1001    20190612T145038527108
   20      -0.7875      0.00        0.00    0.023375     0.000     0.000    33.690    29.581    0b1001    20190612T145039484726
   10      -0.3925      0.00        0.00    0.016687     0.000     0.000    23.521    29.613    0b1001    20190612T145040443747
    0      -0.0000      0.00        0.00    0.009963     0.031     0.063    -0.000    29.613    0b1001    20190612T145041401740
