Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7742      0.61        1.25    0.064375     0.000     0.000    74.163    23.082    0b1111    20190624T110137826230
  120      -4.4475      0.00        0.00    0.059500     0.000     0.000    74.748    23.082    0b1111    20190624T110138786498
  110      -4.0750      0.00        0.00    0.054006     0.019     0.062    75.454    23.082    0b1111    20190624T110139748829
  100      -3.7050      0.00        0.00    0.048525     0.031     0.063    76.352    23.082    0b1111    20190624T110140711623
   90      -3.3346      0.57        1.25    0.043044     0.029     0.063    77.471    23.082    0b1111    20190624T110141674479
   80      -2.9638      0.00        0.00    0.037562     0.000     0.000    78.902    23.114    0b1111    20190624T110142637147
   70      -2.5925      0.00        0.00    0.032063     0.000     0.000    80.858    23.145    0b1111    20190624T110143598669
   60      -2.2188      0.00        0.00    0.026562     0.000     0.000    83.529    23.114    0b1111    20190624T110144562656
   50      -1.8485      0.50        1.25    0.021063     0.000     0.000    87.763    23.082    0b1111    20190624T110145528017
   40      -1.4776      0.37        1.25    0.015606     0.029     0.062    94.682    23.145    0b1111    20190624T110146495007
   30      -1.1075      0.00        0.00    0.010125     0.000     0.000   109.383    23.114    0b1111    20190624T110147459496
   20      -0.7353      0.50        1.25    0.004687     0.000     0.000   156.853    23.114    0b1111    20190624T110148425222
   10      -0.3650      0.00        0.00    0.000000     0.000     0.000     1.000    23.114    0b1111    20190624T110149391283
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.114    0b1111    20190624T110150359682
