Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7713      0.00        0.00    0.063125     0.000     0.000    75.584    23.335    0b1111    20190531T094414673967
  120      -4.5650      0.00        0.00    0.060000     0.000     0.000    76.083    23.367    0b1111    20190531T094415633189
  110      -4.1838      0.00        0.00    0.054312     0.000     0.000    77.031    23.367    0b1111    20190531T094416593221
  100      -3.8037      0.00        0.00    0.048594     0.031     0.063    78.277    23.367    0b1111    20190531T094417552164
   90      -3.4237      0.00        0.00    0.042925     0.025     0.063    79.761    23.367    0b1111    20190531T094418512531
   80      -3.0436      0.38        1.25    0.037237     0.025     0.063    81.735    23.367    0b1111    20190531T094419472185
   70      -2.6631      0.62        1.25    0.031563     0.000     0.000    84.376    23.367    0b1111    20190531T094420430520
   60      -2.2800      0.00        0.00    0.025863     0.025     0.063    88.159    23.399    0b1111    20190531T094421388794
   50      -1.9000      0.00        0.00    0.020188     0.000     0.000    94.118    23.367    0b1111    20190531T094422348009
   40      -1.5188      0.00        0.00    0.014500     0.000     0.000   104.741    23.431    0b1111    20190531T094423307860
   30      -1.1387      0.00        0.00    0.008812     0.000     0.000   129.220    23.399    0b1111    20190531T094424267605
   20      -0.7575      0.00        0.00    0.003206     0.029     0.063   236.257    23.399    0b1111    20190531T094425226203
   10      -0.3775      0.00        0.00    0.000000     0.000     0.000     1.000    23.431    0b1111    20190531T094426189313
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.399    0b1111    20190531T094427149297
