Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7739      0.38        1.25    0.074688     0.000     0.000    63.918    24.413    0b1001    20190409T145727720706
  120      -4.6100      0.00        0.00    0.071875     0.000     0.000    64.139    24.413    0b1001    20190409T145728675426
  110      -4.2244      0.62        1.25    0.065375     0.000     0.000    64.618    24.445    0b1001    20190409T145729630783
  100      -3.8400      0.00        0.00    0.058937     0.000     0.000    65.154    24.445    0b1001    20190409T145730585854
   90      -3.4562      0.00        0.00    0.052500     0.000     0.000    65.833    24.413    0b1001    20190409T145731541606
   80      -3.0712      0.00        0.00    0.046062     0.000     0.000    66.676    24.413    0b1001    20190409T145732495698
   70      -2.6873      0.50        1.25    0.039625     0.000     0.000    67.817    24.413    0b1001    20190409T145733450078
   60      -2.3000      0.00        0.00    0.033125     0.000     0.000    69.434    24.413    0b1001    20190409T145734404582
   50      -1.9150      0.00        0.00    0.026688     0.000     0.000    71.756    24.413    0b1001    20190409T145735362192
   40      -1.5312      0.00        0.00    0.020313     0.000     0.000    75.385    24.445    0b1001    20190409T145736316888
   30      -1.1475      0.00        0.00    0.013875     0.000     0.000    82.703    24.445    0b1001    20190409T145737270621
   20      -0.7625      0.00        0.00    0.007519     0.029     0.063   101.413    24.445    0b1001    20190409T145738226232
   10      -0.3790      0.50        1.25    0.001125     0.000     0.000   336.889    24.445    0b1001    20190409T145739184968
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.445    0b1001    20190409T145740140578
