Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7946      0.57        1.25    0.043000     0.000     0.000   111.503    23.874       0b0    20190626T125656190650
  120      -4.5438      0.00        0.00    0.040344     0.031     0.063   112.626    23.874       0b0    20190626T125657156981
  110      -4.1640      0.50        1.25    0.036375     0.000     0.000   114.474    23.906       0b0    20190626T125658124340
  100      -3.7862      0.00        0.00    0.032375     0.000     0.000   116.950    23.874       0b0    20190626T125659088119
   90      -3.4086      0.37        1.25    0.028431     0.019     0.062   119.890    23.874       0b0    20190626T125700053958
   80      -3.0300      0.00        0.00    0.024438     0.000     0.000   123.990    23.843       0b0    20190626T125701018210
   70      -2.6513      0.00        0.00    0.020487     0.025     0.063   129.408    23.843       0b0    20190626T125701983926
   60      -2.2702      0.50        1.25    0.016500     0.000     0.000   137.591    23.843       0b0    20190626T125702948781
   50      -1.8922      0.50        1.25    0.012525     0.031     0.063   151.078    23.843       0b0    20190626T125703915896
   40      -1.5137      0.00        0.00    0.008563     0.000     0.000   176.788    23.843       0b0    20190626T125704877638
   30      -1.1350      0.00        0.00    0.004625     0.000     0.000   245.405    23.843       0b0    20190626T125705844372
   20      -0.7562      0.00        0.00    0.000750     0.000     0.000  1008.333    23.874       0b0    20190626T125706806799
   10      -0.3775      0.00        0.00    0.000000     0.000     0.000     1.000    23.874       0b0    20190626T125707769080
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.843       0b0    20190626T125708731481
