Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7663      0.00        0.00    0.082375     0.000     0.000    57.860    24.223    0b1001    20191205T144745013266
  120      -4.4625      0.00        0.00    0.077125     0.000     0.000    57.861    24.223    0b1001    20191205T144745974324
  110      -4.0900      0.00        0.00    0.070750     0.000     0.000    57.809    24.255    0b1001    20191205T144746933954
  100      -3.7188      0.00        0.00    0.064419     0.029     0.063    57.728    24.223    0b1001    20191205T144747892655
   90      -3.3475      0.00        0.00    0.058125     0.000     0.000    57.591    24.255    0b1001    20191205T144748848277
   80      -2.9750      0.00        0.00    0.051800     0.025     0.063    57.432    24.287    0b1001    20191205T144749808261
   70      -2.6025      0.00        0.00    0.045500     0.000     0.000    57.198    24.255    0b1001    20191205T144750763872
   60      -2.2280      0.61        1.25    0.039138     0.025     0.063    56.927    24.255    0b1001    20191205T144751720017
   50      -1.8559      0.57        1.25    0.032875     0.000     0.000    56.452    24.287    0b1001    20191205T144752680742
   40      -1.4838      0.00        0.00    0.026562     0.000     0.000    55.859    24.255    0b1001    20191205T144753645099
   30      -1.1113      0.00        0.00    0.020250     0.000     0.000    54.877    24.255    0b1001    20191205T144754610888
   20      -0.7387      0.00        0.00    0.014013     0.025     0.062    52.721    24.287    0b1001    20191205T144755573064
   10      -0.3663      0.00        0.00    0.007750     0.000     0.000    47.258    24.287    0b1001    20191205T144756538163
    0      -0.0000      0.00        0.00    0.001487     0.025     0.063    -0.000    24.287    0b1001    20191205T144757503205
