Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7850      0.00        0.00    0.092044     0.029     0.063    51.986    22.670    0b1001    20190528T105532346521
  120      -4.7243      0.61        1.25    0.090938     0.000     0.000    51.951    22.701    0b1001    20190528T105533305612
  110      -4.3293      0.61        1.25    0.084200     0.025     0.063    51.416    22.701    0b1001    20190528T105534266220
  100      -3.9350      0.00        0.00    0.077500     0.000     0.000    50.774    22.701    0b1001    20190528T105535225306
   90      -3.5420      0.61        1.25    0.070750     0.000     0.000    50.064    22.701    0b1001    20190528T105536180591
   80      -3.1475      0.00        0.00    0.064063     0.000     0.000    49.132    22.733    0b1001    20190528T105537138786
   70      -2.7538      0.00        0.00    0.057319     0.019     0.062    48.043    22.701    0b1001    20190528T105538095282
   60      -2.3575      0.00        0.00    0.050625     0.000     0.000    46.568    22.765    0b1001    20190528T105539051139
   50      -1.9639      0.37        1.25    0.043938     0.000     0.000    44.697    22.765    0b1001    20190528T105540007250
   40      -1.5712      0.00        0.00    0.037250     0.000     0.000    42.181    22.733    0b1001    20190528T105540966442
   30      -1.1775      0.00        0.00    0.030575     0.025     0.063    38.512    22.765    0b1001    20190528T105541925851
   20      -0.7850      0.00        0.00    0.024000     0.000     0.000    32.708    22.765    0b1001    20190528T105542881953
   10      -0.3921      0.57        1.25    0.017319     0.019     0.063    22.642    22.765    0b1001    20190528T105543838292
    0      -0.0000      0.00        0.00    0.010688     0.000     0.000    -0.000    22.765    0b1001    20190528T105544796674
