Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7750      0.00        0.00    0.083438     0.000     0.000    57.228    25.618    0b1001    20190604T164208900264
  120      -4.7038      0.00        0.00    0.082187     0.000     0.000    57.232    25.587    0b1001    20190604T164209859974
  110      -4.3100      0.00        0.00    0.075450     0.025     0.062    57.124    25.587    0b1001    20190604T164210817543
  100      -3.9175      0.00        0.00    0.068812     0.000     0.000    56.930    25.618    0b1001    20190604T164211779275
   90      -3.5259      0.57        1.25    0.062188     0.000     0.000    56.697    25.618    0b1001    20190604T164212740307
   80      -3.1337      0.00        0.00    0.055563     0.000     0.000    56.400    25.587    0b1001    20190604T164213700267
   70      -2.7408      0.61        1.25    0.048938     0.000     0.000    56.005    25.618    0b1001    20190604T164214663050
   60      -2.3463      0.00        0.00    0.042312     0.000     0.000    55.451    25.618    0b1001    20190604T164215633541
   50      -1.9550      0.00        0.00    0.035687     0.000     0.000    54.781    25.618    0b1001    20190604T164216604522
   40      -1.5630      0.61        1.25    0.029062     0.000     0.000    53.781    25.618    0b1001    20190604T164217576638
   30      -1.1719      0.62        1.25    0.022487     0.025     0.063    52.112    25.618    0b1001    20190604T164218539133
   20      -0.7800      0.00        0.00    0.015937     0.000     0.000    48.941    25.618    0b1001    20190604T164219500195
   10      -0.3887      0.00        0.00    0.009312     0.000     0.000    41.745    25.618    0b1001    20190604T164220462177
    0      -0.0000      0.00        0.00    0.002687     0.000     0.000    -0.000    25.618    0b1001    20190604T164221424919
