Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7825      0.00        0.00    0.075125     0.000     0.000    63.661    23.716     0b111    20190521T102000237338
  120      -4.7175      0.00        0.00    0.074250     0.000     0.000    63.535    23.716     0b111    20190521T102001194412
  110      -4.3225      0.00        0.00    0.068875     0.000     0.000    62.759    23.748     0b111    20190521T102002150239
  100      -3.9287      0.00        0.00    0.063500     0.000     0.000    61.870    23.748     0b111    20190521T102003107091
   90      -3.5362      0.00        0.00    0.058188     0.000     0.000    60.773    23.748     0b111    20190521T102004066612
   80      -3.1425      0.00        0.00    0.052812     0.000     0.000    59.503    23.748     0b111    20190521T102005028548
   70      -2.7488      0.00        0.00    0.047500     0.000     0.000    57.868    23.748     0b111    20190521T102005986576
   60      -2.3525      0.00        0.00    0.042125     0.000     0.000    55.846    23.748     0b111    20190521T102006944676
   50      -1.9600      0.00        0.00    0.036781     0.031     0.063    53.288    23.748     0b111    20190521T102007905306
   40      -1.5675      0.00        0.00    0.031438     0.000     0.000    49.861    23.748     0b111    20190521T102008863278
   30      -1.1744      0.62        1.25    0.026125     0.000     0.000    44.952    23.779     0b111    20190521T102009820385
   20      -0.7812      0.00        0.00    0.020831     0.029     0.062    37.504    23.748     0b111    20190521T102010778122
   10      -0.3887      0.00        0.00    0.015500     0.000     0.000    25.081    23.779     0b111    20190521T102011741224
    0      -0.0000      0.00        0.00    0.010188     0.000     0.000    -0.000    23.779     0b111    20190521T102012699841
