Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7800      0.00        0.00    0.041687     0.000     0.000   114.663    24.635       0b0    20181005T183055642446
  120      -4.6437      0.00        0.00    0.040194     0.019     0.063   115.534    24.635       0b0    20181005T183056692671
  110      -4.2556      0.62        1.25    0.036063     0.000     0.000   118.007    24.635       0b0    20181005T183057744138
  100      -3.8678      0.50        1.25    0.031875     0.000     0.000   121.341    24.635       0b0    20181005T183058803907
   90      -3.4815      0.50        1.25    0.027750     0.000     0.000   125.459    24.635       0b0    20181005T183059860446
   80      -3.0950      0.00        0.00    0.023619     0.019     0.063   131.040    24.604       0b0    20181005T183100923599
   70      -2.7085      0.50        1.25    0.019450     0.025     0.063   139.254    24.604       0b0    20181005T183101984830
   60      -2.3188      0.00        0.00    0.015313     0.000     0.000   151.429    24.604       0b0    20181005T183103047314
   50      -1.9312      0.00        0.00    0.011150     0.031     0.063   173.206    24.604       0b0    20181005T183104109919
   40      -1.5437      0.00        0.00    0.007013     0.025     0.063   220.143    24.635       0b0    20181005T183105164486
   30      -1.1562      0.00        0.00    0.002887     0.025     0.063   400.433    24.604       0b0    20181005T183106215964
   20      -0.7687      0.00        0.00    0.000000     0.000     0.000     1.000    24.635       0b0    20181005T183107267582
   10      -0.3825      0.00        0.00    0.000000     0.000     0.000     1.000    24.604       0b0    20181005T183108317559
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.635       0b0    20181005T183109370967
