Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7860      0.50        1.25    0.056719     0.031     0.063    84.381    26.823     0b111    20181012T191452792544
  120      -4.5962      0.00        0.00    0.054062     0.000     0.000    85.017    26.823     0b111    20181012T191453749648
  110      -4.2112      0.00        0.00    0.048750     0.000     0.000    86.385    26.791     0b111    20181012T191454709137
  100      -3.8286      0.37        1.25    0.043438     0.000     0.000    88.141    26.791     0b111    20181012T191455664589
   90      -3.4454      0.57        1.25    0.038125     0.000     0.000    90.370    26.791     0b111    20181012T191456619203
   80      -3.0625      0.00        0.00    0.032838     0.031     0.063    93.262    26.760     0b111    20181012T191457576675
   70      -2.6788      0.00        0.00    0.027550     0.025     0.062    97.232    26.760     0b111    20181012T191458531661
   60      -2.2925      0.00        0.00    0.022188     0.000     0.000   103.324    26.728     0b111    20181012T191459486394
   50      -1.9087      0.00        0.00    0.016881     0.019     0.063   113.069    26.728     0b111    20181012T191500442256
   40      -1.5250      0.00        0.00    0.011625     0.000     0.000   131.183    26.696     0b111    20181012T191501398252
   30      -1.1425      0.00        0.00    0.006313     0.000     0.000   180.990    26.728     0b111    20181012T191502353066
   20      -0.7575      0.00        0.00    0.001063     0.000     0.000   712.941    26.665     0b111    20181012T191503307333
   10      -0.3750      0.00        0.00    0.000000     0.000     0.000     1.000    26.696     0b111    20181012T191504262567
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    26.665     0b111    20181012T191505222553
