Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7863      0.00        0.00    0.073813     0.000     0.000    64.843    23.748    0b1001    20190411T093540539367
  120      -4.5537      0.00        0.00    0.069813     0.000     0.000    65.228    23.779    0b1001    20190411T093541494501
  110      -4.1737      0.00        0.00    0.063375     0.000     0.000    65.858    23.748    0b1001    20190411T093542448856
  100      -3.7950      0.00        0.00    0.056969     0.031     0.063    66.615    23.779    0b1001    20190411T093543403718
   90      -3.4163      0.00        0.00    0.050562     0.000     0.000    67.565    23.779    0b1001    20190411T093544358535
   80      -3.0370      0.61        1.25    0.044125     0.000     0.000    68.827    23.779    0b1001    20190411T093545314061
   70      -2.6575      0.00        0.00    0.037750     0.000     0.000    70.397    23.779    0b1001    20190411T093546270403
   60      -2.2760      0.50        1.25    0.031313     0.000     0.000    72.687    23.779    0b1001    20190411T093547225386
   50      -1.8962      0.00        0.00    0.024938     0.000     0.000    76.040    23.779    0b1001    20190411T093548180391
   40      -1.5166      0.57        1.25    0.018563     0.000     0.000    81.704    23.811    0b1001    20190411T093549135873
   30      -1.1375      0.00        0.00    0.012181     0.019     0.063    93.381    23.779    0b1001    20190411T093550092361
   20      -0.7575      0.00        0.00    0.005819     0.019     0.063   130.183    23.811    0b1001    20190411T093551047929
   10      -0.3788      0.00        0.00    0.000000     0.000     0.000     1.000    23.779    0b1001    20190411T093552004077
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.811    0b1001    20190411T093552959793
