Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7863      0.00        0.00    0.066812     0.000     0.000    71.637    27.457     0b111    20181030T114731198696
  120      -4.7554      0.57        1.25    0.066369     0.019     0.063    71.651    27.457     0b111    20181030T114732154185
  110      -4.3591      0.57        1.25    0.060994     0.019     0.063    71.468    27.457     0b111    20181030T114733109703
  100      -3.9625      0.00        0.00    0.055575     0.025     0.063    71.300    27.457     0b111    20181030T114734064811
   90      -3.5662      0.00        0.00    0.050187     0.000     0.000    71.059    27.425     0b111    20181030T114735022053
   80      -3.1700      0.00        0.00    0.044812     0.000     0.000    70.739    27.394     0b111    20181030T114735979871
   70      -2.7745      0.61        1.25    0.039438     0.000     0.000    70.352    27.394     0b111    20181030T114736935251
   60      -2.3762      0.00        0.00    0.034063     0.000     0.000    69.761    27.394     0b111    20181030T114737889242
   50      -1.9788      0.00        0.00    0.028687     0.000     0.000    68.976    27.362     0b111    20181030T114738845101
   40      -1.5825      0.00        0.00    0.023313     0.000     0.000    67.882    27.362     0b111    20181030T114739801169
   30      -1.1862      0.00        0.00    0.017937     0.000     0.000    66.132    27.362     0b111    20181030T114740757573
   20      -0.7899      0.37        1.25    0.012625     0.000     0.000    62.564    27.330     0b111    20181030T114741712767
   10      -0.3937      0.00        0.00    0.007269     0.029     0.063    54.170    27.299     0b111    20181030T114742668286
    0      -0.0000      0.00        0.00    0.001938     0.000     0.000    -0.000    27.267     0b111    20181030T114743624283
