Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7987      0.00        0.00    0.054813     0.000     0.000    87.548    24.350     0b111    20190411T155819699410
  120      -4.5725      0.00        0.00    0.051687     0.000     0.000    88.464    24.350     0b111    20190411T155820657967
  110      -4.1900      0.00        0.00    0.046500     0.000     0.000    90.108    24.350     0b111    20190411T155821612621
  100      -3.8088      0.00        0.00    0.041275     0.031     0.063    92.277    24.350     0b111    20190411T155822566776
   90      -3.4275      0.00        0.00    0.036063     0.000     0.000    95.043    24.350     0b111    20190411T155823522218
   80      -3.0460      0.50        1.25    0.030875     0.000     0.000    98.656    24.350     0b111    20190411T155824474988
   70      -2.6637      0.00        0.00    0.025688     0.000     0.000   103.698    24.350     0b111    20190411T155825429225
   60      -2.2801      0.37        1.25    0.020444     0.019     0.063   111.532    24.382     0b111    20190411T155826383089
   50      -1.8988      0.00        0.00    0.015275     0.031     0.063   124.304    24.350     0b111    20190411T155827341192
   40      -1.5175      0.00        0.00    0.010100     0.031     0.063   150.248    24.382     0b111    20190411T155828294638
   30      -1.1366      0.57        1.25    0.004925     0.025     0.063   230.787    24.350     0b111    20190411T155829247841
   20      -0.7550      0.00        0.00    0.000000     0.000     0.000     1.000    24.382     0b111    20190411T155830201482
   10      -0.3741      0.57        1.25    0.000000     0.000     0.000     1.000    24.350     0b111    20190411T155831157340
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.413     0b111    20190411T155832114579
