Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7737      0.00        0.00    0.055000     0.000     0.000    86.795    25.048       0b0    20190625T140034094995
  120      -4.5761      0.37        1.25    0.052900     0.031     0.063    86.505    24.984       0b0    20190625T140035062585
  110      -4.1938      0.00        0.00    0.048938     0.000     0.000    85.696    25.016       0b0    20190625T140036030839
  100      -3.8114      0.37        1.25    0.045000     0.000     0.000    84.697    25.016       0b0    20190625T140037000770
   90      -3.4303      0.50        1.25    0.041063     0.000     0.000    83.537    25.016       0b0    20190625T140037970551
   80      -3.0487      0.00        0.00    0.037125     0.000     0.000    82.121    25.016       0b0    20190625T140038941156
   70      -2.6675      0.00        0.00    0.033187     0.000     0.000    80.377    24.984       0b0    20190625T140039911105
   60      -2.2838      0.00        0.00    0.029187     0.000     0.000    78.244    24.984       0b0    20190625T140040878087
   50      -1.9021      0.57        1.25    0.025250     0.000     0.000    75.332    24.984       0b0    20190625T140041849075
   40      -1.5206      0.62        1.25    0.021319     0.019     0.062    71.328    24.984       0b0    20190625T140042816442
   30      -1.1400      0.00        0.00    0.017375     0.000     0.000    65.612    24.984       0b0    20190625T140043782293
   20      -0.7579      0.57        1.25    0.013500     0.000     0.000    56.139    24.984       0b0    20190625T140044747536
   10      -0.3775      0.00        0.00    0.009562     0.000     0.000    39.477    24.984       0b0    20190625T140045711143
    0      -0.0000      0.00        0.00    0.005625     0.000     0.000    -0.000    24.952       0b0    20190625T140046678343
