Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7750      0.00        0.00    0.059375     0.000     0.000    80.421    24.033     0b111    20190626T140602747410
  120      -4.6037      0.00        0.00    0.057000     0.000     0.000    80.768    24.001     0b111    20190626T140603712134
  110      -4.2188      0.00        0.00    0.051750     0.000     0.000    81.522    24.001     0b111    20190626T140604672870
  100      -3.8350      0.00        0.00    0.046562     0.000     0.000    82.362    24.033     0b111    20190626T140605639141
   90      -3.4525      0.00        0.00    0.041312     0.000     0.000    83.570    24.065     0b111    20190626T140606607348
   80      -3.0688      0.00        0.00    0.036113     0.025     0.063    84.978    24.001     0b111    20190626T140607578330
   70      -2.6842      0.61        1.25    0.030875     0.000     0.000    86.939    24.065     0b111    20190626T140608540292
   60      -2.2986      0.38        1.25    0.025625     0.000     0.000    89.702    24.065     0b111    20190626T140609506146
   50      -1.9149      0.37        1.25    0.020394     0.029     0.063    93.895    24.033     0b111    20190626T140610471254
   40      -1.5311      0.37        1.25    0.015188     0.000     0.000   100.815    24.065     0b111    20190626T140611436586
   30      -1.1475      0.00        0.00    0.009938     0.000     0.000   115.472    24.065     0b111    20190626T140612401628
   20      -0.7638      0.00        0.00    0.004769     0.029     0.063   160.157    24.033     0b111    20190626T140613367370
   10      -0.3804      0.57        1.25    0.000000     0.000     0.000     1.000    24.065     0b111    20190626T140614337969
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.033     0b111    20190626T140615306106
