Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7563      0.00        0.00    0.066187     0.000     0.000    71.860    26.791     0b111    20190613T161449670505
  120      -4.5763      0.00        0.00    0.063750     0.000     0.000    71.784    26.791     0b111    20190613T161450628937
  110      -4.1938      0.00        0.00    0.058556     0.019     0.063    71.619    26.791     0b111    20190613T161451587437
  100      -3.8125      0.00        0.00    0.053375     0.000     0.000    71.429    26.823     0b111    20190613T161452547295
   90      -3.4312      0.00        0.00    0.048188     0.000     0.000    71.206    26.791     0b111    20190613T161453505422
   80      -3.0500      0.00        0.00    0.043025     0.031     0.063    70.889    26.791     0b111    20190613T161454465288
   70      -2.6687      0.00        0.00    0.037875     0.000     0.000    70.462    26.791     0b111    20190613T161455421888
   60      -2.2850      0.00        0.00    0.032662     0.031     0.063    69.958    26.791     0b111    20190613T161456380624
   50      -1.9038      0.00        0.00    0.027500     0.000     0.000    69.227    26.823     0b111    20190613T161457339367
   40      -1.5225      0.00        0.00    0.022313     0.000     0.000    68.235    26.823     0b111    20190613T161458298082
   30      -1.1412      0.00        0.00    0.017144     0.029     0.063    66.569    26.791     0b111    20190613T161459262401
   20      -0.7600      0.00        0.00    0.012025     0.031     0.063    63.202    26.760     0b111    20190613T161500224074
   10      -0.3788      0.00        0.00    0.006875     0.000     0.000    55.091    26.791     0b111    20190613T161501185034
    0      -0.0000      0.00        0.00    0.001688     0.000     0.000    -0.000    26.791     0b111    20190613T161502145002
