Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7949      0.37        1.25    0.058313     0.000     0.000    82.227    30.977    0b1111    20190611T144439212188
  120      -4.7827      0.50        1.25    0.058125     0.000     0.000    82.284    30.977    0b1111    20190611T144440173411
  110      -4.5475      0.00        0.00    0.054688     0.000     0.000    83.154    31.008    0b1111    20190611T144441131622
  100      -4.1338      0.00        0.00    0.048625     0.000     0.000    85.013    31.008    0b1111    20190611T144442088383
   90      -3.7225      0.00        0.00    0.042625     0.000     0.000    87.331    31.008    0b1111    20190611T144443046815
   80      -3.3100      0.00        0.00    0.036600     0.031     0.063    90.437    31.008    0b1111    20190611T144444006076
   70      -2.8975      0.00        0.00    0.030562     0.000     0.000    94.806    31.008    0b1111    20190611T144444962690
   60      -2.4812      0.00        0.00    0.024500     0.000     0.000   101.276    31.040    0b1111    20190611T144445919701
   50      -2.0675      0.00        0.00    0.018450     0.025     0.062   112.060    31.008    0b1111    20190611T144446877592
   40      -1.6527      0.50        1.25    0.012438     0.000     0.000   132.884    31.008    0b1111    20190611T144447834301
   30      -1.2387      0.00        0.00    0.006375     0.000     0.000   194.314    31.008    0b1111    20190611T144448792044
   20      -0.8250      0.00        0.00    0.000425     0.025     0.063  1941.176    31.040    0b1111    20190611T144449750777
   10      -0.4113      0.00        0.00    0.000000     0.000     0.000     1.000    31.008    0b1111    20190611T144450713793
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    31.008    0b1111    20190611T144451679399
