Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7700      0.00        0.00    0.060688     0.000     0.000    78.599    23.177    0b1111    20190422T113240059879
  120      -4.6338      0.00        0.00    0.058688     0.000     0.000    78.956    23.177    0b1111    20190422T113241015562
  110      -4.2475      0.00        0.00    0.052975     0.031     0.063    80.179    23.177    0b1111    20190422T113241972677
  100      -3.8619      0.63        1.25    0.047256     0.019     0.063    81.722    23.209    0b1111    20190422T113242931040
   90      -3.4764      0.37        1.25    0.041613     0.025     0.063    83.542    23.209    0b1111    20190422T113243888315
   80      -3.0912      0.00        0.00    0.035938     0.000     0.000    86.017    23.209    0b1111    20190422T113244844509
   70      -2.7050      0.00        0.00    0.030250     0.000     0.000    89.421    23.240    0b1111    20190422T113245799833
   60      -2.3175      0.00        0.00    0.024562     0.000     0.000    94.351    23.240    0b1111    20190422T113246756602
   50      -1.9312      0.00        0.00    0.018875     0.000     0.000   102.318    23.240    0b1111    20190422T113247715624
   40      -1.5463      0.00        0.00    0.013250     0.000     0.000   116.698    23.240    0b1111    20190422T113248670982
   30      -1.1600      0.00        0.00    0.007606     0.029     0.063   152.506    23.272    0b1111    20190422T113249625803
   20      -0.7737      0.00        0.00    0.002000     0.000     0.000   386.875    23.272    0b1111    20190422T113250581952
   10      -0.3880      0.61        1.25    0.000000     0.000     0.000     1.000    23.272    0b1111    20190422T113251537521
    0      -0.0025      0.00        0.00    0.000000     0.000     0.000     1.000    23.272    0b1111    20190422T113252492045
