Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7600      0.00        0.00    0.044950     0.025     0.062   105.895    24.160       0b0    20190410T110747723656
  120      -4.7476      0.37        1.25    0.044812     0.000     0.000   105.944    24.160       0b0    20190410T110748679506
  110      -4.4225      0.00        0.00    0.041350     0.031     0.063   106.953    24.160       0b0    20190410T110749635634
  100      -4.0196      0.57        1.25    0.037062     0.000     0.000   108.455    24.160       0b0    20190410T110750590478
   90      -3.6175      0.00        0.00    0.032813     0.000     0.000   110.248    24.192       0b0    20190410T110751545819
   80      -3.2150      0.00        0.00    0.028500     0.000     0.000   112.807    24.160       0b0    20190410T110752500664
   70      -2.8118      0.61        1.25    0.024250     0.000     0.000   115.948    24.160       0b0    20190410T110753455432
   60      -2.4075      0.00        0.00    0.019938     0.000     0.000   120.752    24.160       0b0    20190410T110754410666
   50      -2.0063      0.00        0.00    0.015706     0.029     0.063   127.736    24.160       0b0    20190410T110755365279
   40      -1.6039      0.37        1.25    0.011500     0.000     0.000   139.467    24.160       0b0    20190410T110756319634
   30      -1.2029      0.57        1.25    0.007250     0.000     0.000   165.914    24.160       0b0    20190410T110757274709
   20      -0.8012      0.00        0.00    0.003062     0.000     0.000   261.633    24.160       0b0    20190410T110758229942
   10      -0.4012      0.00        0.00    0.000000     0.000     0.000     1.000    24.128       0b0    20190410T110759184674
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.160       0b0    20190410T110800143420
