Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.8000      0.00        0.00    0.056456     0.029     0.063    85.022    24.287       0b0    20190619T150059764191
  120      -4.7215      0.50        1.25    0.055625     0.000     0.000    84.881    24.287       0b0    20190619T150100722831
  110      -4.3275      0.00        0.00    0.051500     0.000     0.000    84.029    24.287       0b0    20190619T150101689843
  100      -3.9338      0.00        0.00    0.047387     0.025     0.063    83.012    24.255       0b0    20190619T150102654803
   90      -3.5413      0.00        0.00    0.043306     0.019     0.063    81.772    24.255       0b0    20190619T150103621790
   80      -3.1475      0.00        0.00    0.039187     0.000     0.000    80.319    24.255       0b0    20190619T150104583294
   70      -2.7538      0.00        0.00    0.035063     0.000     0.000    78.538    24.255       0b0    20190619T150105547465
   60      -2.3588      0.00        0.00    0.030937     0.000     0.000    76.242    24.287       0b0    20190619T150106511374
   50      -1.9645      0.61        1.25    0.026812     0.000     0.000    73.268    24.255       0b0    20190619T150107475069
   40      -1.5701      0.37        1.25    0.022687     0.000     0.000    69.207    24.255       0b0    20190619T150108438588
   30      -1.1767      0.61        1.25    0.018619     0.019     0.062    63.202    24.255       0b0    20190619T150109401819
   20      -0.7838      0.00        0.00    0.014531     0.031     0.063    53.935    24.255       0b0    20190619T150110368679
   10      -0.3909      0.57        1.25    0.010438     0.000     0.000    37.449    24.255       0b0    20190619T150111332062
    0      -0.0000      0.00        0.00    0.006313     0.000     0.000    -0.000    24.255       0b0    20190619T150112297394
