Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7812      0.00        0.00    0.048375     0.000     0.000    98.837    24.857       0b0    20190618T142016913513
  120      -4.6800      0.00        0.00    0.047250     0.000     0.000    99.048    24.889       0b0    20190618T142017879239
  110      -4.2888      0.00        0.00    0.043131     0.019     0.063    99.435    24.857       0b0    20190618T142018841229
  100      -3.8975      0.00        0.00    0.039062     0.000     0.000    99.776    24.889       0b0    20190618T142019805833
   90      -3.5078      0.50        1.25    0.034938     0.000     0.000   100.401    24.857       0b0    20190618T142020770209
   80      -3.1175      0.00        0.00    0.030812     0.000     0.000   101.176    24.857       0b0    20190618T142021735179
   70      -2.7275      0.00        0.00    0.026688     0.000     0.000   102.201    24.826       0b0    20190618T142022700420
   60      -2.3350      0.00        0.00    0.022562     0.000     0.000   103.490    24.857       0b0    20190618T142023664397
   50      -1.9450      0.00        0.00    0.018450     0.025     0.062   105.420    24.857       0b0    20190618T142024630589
   40      -1.5550      0.00        0.00    0.014375     0.000     0.000   108.174    24.826       0b0    20190618T142025597642
   30      -1.1650      0.00        0.00    0.010250     0.000     0.000   113.659    24.794       0b0    20190618T142026570751
   20      -0.7755      0.61        1.25    0.006187     0.000     0.000   125.333    24.826       0b0    20190618T142027542857
   10      -0.3862      0.00        0.00    0.002125     0.000     0.000   181.765    24.857       0b0    20190618T142028512158
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.857       0b0    20190618T142029484432
