Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.8010      0.50        1.25    0.056813     0.000     0.000    84.506    23.367     0b111    20190910T084015894411
  120      -4.7888      0.00        0.00    0.056644     0.029     0.063    84.542    23.367     0b111    20190910T084016858237
  110      -4.4875      0.00        0.00    0.052494     0.019     0.063    85.486    23.367     0b111    20190910T084017823599
  100      -4.0796      0.57        1.25    0.046875     0.000     0.000    87.032    23.335     0b111    20190910T084018786432
   90      -3.6726      0.38        1.25    0.041287     0.031     0.063    88.952    23.367     0b111    20190910T084019753282
   80      -3.2665      0.50        1.25    0.035687     0.000     0.000    91.531    23.335     0b111    20190910T084020718426
   70      -2.8600      0.00        0.00    0.030119     0.019     0.063    94.957    23.367     0b111    20190910T084021682481
   60      -2.4500      0.00        0.00    0.024500     0.000     0.000   100.000    23.367     0b111    20190910T084022649545
   50      -2.0423      0.50        1.25    0.018875     0.000     0.000   108.199    23.367     0b111    20190910T084023616462
   40      -1.6350      0.00        0.00    0.013313     0.000     0.000   122.817    23.367     0b111    20190910T084024582455
   30      -1.2264      0.37        1.25    0.007687     0.000     0.000   159.528    23.367     0b111    20190910T084025544970
   20      -0.8177      0.50        1.25    0.002169     0.029     0.063   377.061    23.367     0b111    20190910T084026510953
   10      -0.4101      0.37        1.25    0.000000     0.000     0.000     1.000    23.367     0b111    20190910T084027475686
    0      -0.0022      0.50        1.25    0.000000     0.000     0.000     1.000    23.367     0b111    20190910T084028439915
