Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7962      0.00        0.00    0.046387     0.025     0.063   103.395    24.635       0b0    20190619T130751346664
  120      -4.6512      0.00        0.00    0.044869     0.019     0.063   103.663    24.635       0b0    20190619T130752311796
  110      -4.2625      0.00        0.00    0.040806     0.019     0.063   104.457    24.667       0b0    20190619T130753277877
  100      -3.8750      0.00        0.00    0.036750     0.000     0.000   105.442    24.667       0b0    20190619T130754242141
   90      -3.4875      0.00        0.00    0.032687     0.000     0.000   106.692    24.635       0b0    20190619T130755206235
   80      -3.1000      0.00        0.00    0.028625     0.000     0.000   108.297    24.635       0b0    20190619T130756174853
   70      -2.7125      0.00        0.00    0.024562     0.000     0.000   110.433    24.635       0b0    20190619T130757137980
   60      -2.3225      0.00        0.00    0.020500     0.000     0.000   113.293    24.635       0b0    20190619T130758102343
   50      -1.9338      0.00        0.00    0.016437     0.000     0.000   117.643    24.635       0b0    20190619T130759067307
   40      -1.5450      0.00        0.00    0.012375     0.000     0.000   124.848    24.635       0b0    20190619T130800035296
   30      -1.1575      0.00        0.00    0.008313     0.000     0.000   139.248    24.635       0b0    20190619T130801002644
   20      -0.7687      0.00        0.00    0.004312     0.000     0.000   178.261    24.604       0b0    20190619T130801968511
   10      -0.3813      0.00        0.00    0.000306     0.019     0.062  1244.898    24.604       0b0    20190619T130802935250
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.604       0b0    20190619T130803900606
