Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7595      0.61        1.25    0.085312     0.000     0.000    55.789    25.777    0b1001    20190605T142508349615
  120      -4.5063      0.00        0.00    0.080938     0.000     0.000    55.676    25.745    0b1001    20190605T142509307238
  110      -4.1290      0.50        1.25    0.074538     0.031     0.063    55.395    25.745    0b1001    20190605T142510263203
  100      -3.7537      0.00        0.00    0.068125     0.000     0.000    55.101    25.777    0b1001    20190605T142511222392
   90      -3.3785      0.50        1.25    0.061731     0.029     0.063    54.729    25.777    0b1001    20190605T142512181714
   80      -3.0025      0.00        0.00    0.055313     0.000     0.000    54.282    25.777    0b1001    20190605T142513141604
   70      -2.6262      0.00        0.00    0.048894     0.029     0.063    53.713    25.777    0b1001    20190605T142514099354
   60      -2.2475      0.00        0.00    0.042438     0.000     0.000    52.960    25.777    0b1001    20190605T142515057008
   50      -1.8725      0.00        0.00    0.036063     0.000     0.000    51.924    25.777    0b1001    20190605T142516016866
   40      -1.4963      0.00        0.00    0.029625     0.000     0.000    50.506    25.777    0b1001    20190605T142516972558
   30      -1.1213      0.00        0.00    0.023250     0.000     0.000    48.226    25.777    0b1001    20190605T142517932247
   20      -0.7450      0.00        0.00    0.016869     0.019     0.063    44.165    25.777    0b1001    20190605T142518888822
   10      -0.3700      0.00        0.00    0.010438     0.000     0.000    35.449    25.745    0b1001    20190605T142519850014
    0      -0.0000      0.00        0.00    0.004000     0.000     0.000    -0.000    25.777    0b1001    20190605T142520806914
