Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7775      0.00        0.00    0.061813     0.000     0.000    77.290    24.667       0b0    20190603T175948396037
  120      -4.5125      0.00        0.00    0.058950     0.025     0.063    76.548    24.635       0b0    20190603T175949355512
  110      -4.1350      0.00        0.00    0.054938     0.000     0.000    75.267    24.667       0b0    20190603T175950314706
  100      -3.7588      0.00        0.00    0.050925     0.025     0.063    73.810    24.667       0b0    20190603T175951273859
   90      -3.3825      0.00        0.00    0.046875     0.000     0.000    72.160    24.667       0b0    20190603T175952235716
   80      -3.0063      0.00        0.00    0.042875     0.000     0.000    70.117    24.635       0b0    20190603T175953201103
   70      -2.6289      0.37        1.25    0.038875     0.000     0.000    67.624    24.635       0b0    20190603T175954171838
   60      -2.2505      0.61        1.25    0.034844     0.031     0.063    64.588    24.667       0b0    20190603T175955143947
   50      -1.8742      0.61        1.25    0.030838     0.031     0.063    60.778    24.667       0b0    20190603T175956109295
   40      -1.4986      0.37        1.25    0.026856     0.029     0.063    55.802    24.667       0b0    20190603T175957076030
   30      -1.1216      0.57        1.25    0.022856     0.029     0.063    49.073    24.667       0b0    20190603T175958043127
   20      -0.7459      0.57        1.25    0.018875     0.000     0.000    39.517    24.635       0b0    20190603T175959010769
   10      -0.3700      0.00        0.00    0.014875     0.000     0.000    24.874    24.604       0b0    20190603T175959977995
    0      -0.0000      0.00        0.00    0.010887     0.025     0.063    -0.000    24.635       0b0    20190603T180000942335
