Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7875      0.00        0.00    0.045750     0.000     0.000   104.645    25.143       0b0    20190607T140231868021
  120      -4.5350      0.00        0.00    0.043063     0.000     0.000   105.312    25.143       0b0    20190607T140232833601
  110      -4.1562      0.00        0.00    0.039050     0.025     0.063   106.434    25.143       0b0    20190607T140233793740
  100      -3.7779      0.57        1.25    0.035000     0.000     0.000   107.939    25.174       0b0    20190607T140234753272
   90      -3.4004      0.57        1.25    0.031000     0.000     0.000   109.690    25.143       0b0    20190607T140235712051
   80      -3.0225      0.00        0.00    0.026944     0.019     0.063   112.178    25.143       0b0    20190607T140236670776
   70      -2.6440      0.50        1.25    0.022937     0.000     0.000   115.270    25.143       0b0    20190607T140237628748
   60      -2.2638      0.00        0.00    0.018875     0.000     0.000   119.934    25.143       0b0    20190607T140238586351
   50      -1.8862      0.00        0.00    0.014863     0.025     0.062   126.913    25.143       0b0    20190607T140239544900
   40      -1.5087      0.00        0.00    0.010819     0.019     0.063   139.457    25.143       0b0    20190607T140240503845
   30      -1.1312      0.00        0.00    0.006813     0.000     0.000   166.055    25.143       0b0    20190607T140241459331
   20      -0.7538      0.00        0.00    0.002875     0.000     0.000   262.174    25.111       0b0    20190607T140242416161
   10      -0.3763      0.00        0.00    0.000000     0.000     0.000     1.000    25.111       0b0    20190607T140243379211
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.111       0b0    20190607T140244338656
