Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7888      0.00        0.00    0.084306     0.019     0.062    56.802    23.874    0b1001    20190411T153607143561
  120      -4.7762      0.00        0.00    0.084063     0.000     0.000    56.818    23.874    0b1001    20190411T153608098231
  110      -4.4113      0.00        0.00    0.077813     0.000     0.000    56.691    23.874    0b1001    20190411T153609053965
  100      -4.0088      0.00        0.00    0.071000     0.000     0.000    56.461    23.906    0b1001    20190411T153610010427
   90      -3.6075      0.00        0.00    0.064250     0.000     0.000    56.148    23.906    0b1001    20190411T153610965649
   80      -3.2050      0.00        0.00    0.057444     0.019     0.063    55.794    23.906    0b1001    20190411T153611921676
   70      -2.8021      0.57        1.25    0.050687     0.000     0.000    55.282    23.906    0b1001    20190411T153612877491
   60      -2.3975      0.00        0.00    0.043881     0.019     0.063    54.636    23.938    0b1001    20190411T153613837156
   50      -1.9966      0.57        1.25    0.037163     0.031     0.062    53.727    23.938    0b1001    20190411T153614793872
   40      -1.5962      0.00        0.00    0.030437     0.000     0.000    52.444    23.906    0b1001    20190411T153615751194
   30      -1.1950      0.00        0.00    0.023688     0.000     0.000    50.449    23.938    0b1001    20190411T153616706179
   20      -0.7950      0.00        0.00    0.017006     0.019     0.063    46.748    23.938    0b1001    20190411T153617664077
   10      -0.3937      0.00        0.00    0.010313     0.000     0.000    38.182    23.906    0b1001    20190411T153618616299
    0      -0.0000      0.00        0.00    0.003563     0.000     0.000    -0.000    23.938    0b1001    20190411T153619573154
