Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.24503     4.39000     23.11351      30.97654     29.70831    0b1111111111111111    20181005T174031614158
 2.24508     4.39000     23.14521      30.97654     29.74001    0b1111111111111111    20181005T174032317998
 2.24513     4.38917     23.14521      30.97654     29.77172    0b1111111111111111    20181005T174033023231
 2.24513     4.38917     23.17692      30.97654     29.74001    0b1111111111111111    20181005T174033726814
 2.24513     4.38833     23.17692      31.00824     29.74001    0b1111111111111111    20181005T174034429896
 2.24513     4.38917     23.17692      31.00824     29.74001    0b1111111111111111    20181005T174035133168
 2.24513     4.39000     23.20862      31.00824     29.74001    0b1111111111111111    20181005T174035837743
 2.24522     4.38750     23.20862      31.00824     29.74001    0b1111111111111111    20181005T174036542324
 2.24508     4.38833     23.24033      31.00824     29.74001    0b1111111111111111    20181005T174037248088
 2.24513     4.38833     23.24033      31.03995     29.77172    0b1111111111111111    20181005T174037952911
 2.24564     4.39000     23.62080      31.03995     29.77172    0b1111111111111111    20181005T174038657026
 2.24667     4.39000     27.23526      31.03995     29.77172    0b1111111111111111    20181005T174039361494
 2.24733     4.39417     29.67660      31.03995     29.77172    0b1111111111111111    20181005T174040066633
 2.24794     4.39583     31.89601      31.03995     29.77172    0b1111111111111111    20181005T174040772638
 2.24855     4.39500     34.49588      31.03995     29.74001    0b1111111111111111    20181005T174041476226
 2.24920     4.39583     37.38110      31.03995     29.77172    0b1111111111111111    20181005T174042180859
 2.24981     4.39667     39.09321      31.03995     29.77172    0b1111111111111111    20181005T174042884704
 2.25014     4.39667     40.74192      31.03995     29.77172    0b1111111111111111    20181005T174043589196
 2.25066     4.39833     42.26379      31.03995     29.77172    0b1111111111111111    20181005T174044293685
 2.25108     4.40083     43.53202      31.03995     29.77172    0b1111111111111111    20181005T174044997966
 2.25131     4.40333     44.89537      31.03995     29.74001    0b1111111111111111    20181005T174045702173
 2.25169     4.39917     46.22701      31.07166     29.74001    0b1111111111111111    20181005T174046406818
 2.25192     4.40250     47.40013      31.03995     29.74001    0b1111111111111111    20181005T174047110681
 2.25230     4.40083     48.44642      31.07166     29.74001    0b1111111111111111    20181005T174047815419
 2.25248     4.40167     49.46100      31.07166     29.77172    0b1111111111111111    20181005T174048521256
 2.25272     4.40500     50.69753      31.07166     29.77172    0b1111111111111111    20181005T174049225228
 2.25300     4.40500     51.58529      31.07166     29.74001    0b1111111111111111    20181005T174049930510
 2.25323     4.40500     48.79518      31.07166     29.77172    0b1111111111111111    20181005T174050633611
 2.25342     4.40500     53.86810      31.07166     29.77172    0b1111111111111111    20181005T174051336593
 2.25361     4.40583     54.47051      31.07166     29.74001    0b1111111111111111    20181005T174052040226
 2.25384     4.40500     55.42169      31.07166     29.77172    0b1111111111111111    20181005T174052744968
 2.25403     4.40500     56.40457      31.07166     29.77172    0b1111111111111111    20181005T174053448657
 2.25417     4.40833     57.16550      31.07166     29.77172    0b1111111111111111    20181005T174054153645
 2.25450     4.40583     57.86303      31.07166     29.80342    0b1111111111111111    20181005T174054858132
 2.25464     4.40750     58.65568      31.07166     29.77172    0b1111111111111111    20181005T174055561770
 2.25488     4.40917     59.38491      31.07166     29.80342    0b1111111111111111    20181005T174056267123
 2.25506     4.40917     59.82879      31.07166     29.77172    0b1111111111111111    20181005T174056970996
 2.25525     4.40750     60.36779      31.07166     29.80342    0b1111111111111111    20181005T174057675992
 2.25530     4.41000     61.00190      31.10336     29.80342    0b1111111111111111    20181005T174058379974
 2.25567     4.40917     61.73114      31.10336     29.77172    0b1111111111111111    20181005T174059082945
 2.25572     4.41083     62.30184      31.10336     29.80342    0b1111111111111111    20181005T174059786179
 2.25595     4.41167     62.74572      31.07166     29.80342    0b1111111111111111    20181005T174100489918
 2.25600     4.40917     63.34813      31.10336     29.80342    0b1111111111111111    20181005T174101194331
 2.25609     4.41000     63.88713      31.07166     29.77172    0b1111111111111111    20181005T174101900177
 2.25628     4.41167     64.36271      31.10336     29.77172    0b1111111111111111    20181005T174102604934
 2.25637     4.41083     64.71148      31.10336     29.77172    0b1111111111111111    20181005T174103309048
 0.00000    -0.03583     65.21877      31.13507     29.80342    0b1111111111111111    20181005T174104014867
