Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7850      0.00        0.00    0.071000     0.000     0.000    67.394    24.065     0b111    20190607T123905496483
  120      -4.7150      0.00        0.00    0.070025     0.031     0.062    67.333    24.065     0b111    20190607T123906454334
  110      -4.3213      0.00        0.00    0.064644     0.029     0.062    66.847    24.065     0b111    20190607T123907415668
  100      -3.9279      0.57        1.25    0.059313     0.000     0.000    66.223    24.096     0b111    20190607T123908374804
   90      -3.5362      0.00        0.00    0.053938     0.000     0.000    65.562    24.065     0b111    20190607T123909335288
   80      -3.1426      0.38        1.25    0.048563     0.000     0.000    64.713    24.065     0b111    20190607T123910295608
   70      -2.7500      0.00        0.00    0.043187     0.000     0.000    63.676    24.065     0b111    20190607T123911255880
   60      -2.3550      0.00        0.00    0.037813     0.000     0.000    62.281    24.096     0b111    20190607T123912216873
   50      -1.9625      0.00        0.00    0.032488     0.025     0.063    60.408    24.096     0b111    20190607T123913177100
   40      -1.5700      0.00        0.00    0.027125     0.000     0.000    57.880    24.096     0b111    20190607T123914135581
   30      -1.1775      0.00        0.00    0.021781     0.031     0.063    54.060    24.096     0b111    20190607T123915106335
   20      -0.7849      0.37        1.25    0.016494     0.019     0.063    47.586    24.096     0b111    20190607T123916074485
   10      -0.3925      0.00        0.00    0.011125     0.000     0.000    35.281    24.096     0b111    20190607T123917042560
    0      -0.0000      0.00        0.00    0.005750     0.000     0.000    -0.000    24.065     0b111    20190607T123918014394
