Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7987      0.00        0.00    0.058875     0.000     0.000    81.507    27.330     0b111    20190610T101408187539
  120      -4.6638      0.00        0.00    0.057050     0.025     0.062    81.748    27.299     0b111    20190610T101409145765
  110      -4.2745      0.61        1.25    0.051812     0.000     0.000    82.499    27.299     0b111    20190610T101410104997
  100      -3.8850      0.00        0.00    0.046562     0.000     0.000    83.436    27.299     0b111    20190610T101411062854
   90      -3.4975      0.00        0.00    0.041312     0.000     0.000    84.660    27.330     0b111    20190610T101412021974
   80      -3.1088      0.00        0.00    0.036063     0.000     0.000    86.205    27.299     0b111    20190610T101412979330
   70      -2.7200      0.00        0.00    0.030875     0.000     0.000    88.097    27.330     0b111    20190610T101413939338
   60      -2.3287      0.00        0.00    0.025625     0.000     0.000    90.878    27.330     0b111    20190610T101414901301
   50      -1.9400      0.00        0.00    0.020375     0.000     0.000    95.215    27.299     0b111    20190610T101415860553
   40      -1.5520      0.61        1.25    0.015188     0.000     0.000   102.189    27.330     0b111    20190610T101416821634
   30      -1.1638      0.00        0.00    0.009969     0.031     0.063   116.740    27.330     0b111    20190610T101417782773
   20      -0.7750      0.00        0.00    0.004812     0.000     0.000   161.039    27.330     0b111    20190610T101418741740
   10      -0.3862      0.00        0.00    0.000000     0.000     0.000     1.000    27.362     0b111    20190610T101419703203
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    27.362     0b111    20190610T101420660230
