Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7488      0.00        0.00    0.083562     0.000     0.000    56.829    23.748    0b1001    20190529T103526809630
  120      -4.4837      0.00        0.00    0.078950     0.025     0.062    56.792    23.779    0b1001    20190529T103527766764
  110      -4.1089      0.38        1.25    0.072562     0.000     0.000    56.625    23.779    0b1001    20190529T103528725088
  100      -3.7362      0.00        0.00    0.066187     0.000     0.000    56.449    23.779    0b1001    20190529T103529682060
   90      -3.3625      0.00        0.00    0.059813     0.000     0.000    56.217    23.779    0b1001    20190529T103530640339
   80      -2.9888      0.00        0.00    0.053438     0.000     0.000    55.930    23.779    0b1001    20190529T103531600304
   70      -2.6150      0.00        0.00    0.047075     0.025     0.063    55.550    23.811    0b1001    20190529T103532557802
   60      -2.2388      0.00        0.00    0.040687     0.000     0.000    55.023    23.779    0b1001    20190529T103533518177
   50      -1.8663      0.00        0.00    0.034350     0.031     0.063    54.330    23.811    0b1001    20190529T103534479363
   40      -1.4925      0.00        0.00    0.028000     0.000     0.000    53.304    23.811    0b1001    20190529T103535437386
   30      -1.1195      0.61        1.25    0.021688     0.000     0.000    51.620    23.811    0b1001    20190529T103536394846
   20      -0.7465      0.50        1.25    0.015375     0.000     0.000    48.553    23.811    0b1001    20190529T103537352884
   10      -0.3731      0.63        1.25    0.009062     0.000     0.000    41.172    23.779    0b1001    20190529T103538312805
    0      -0.0000      0.00        0.00    0.002737     0.025     0.063    -0.000    23.811    0b1001    20190529T103539273464
