Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7775      0.00        0.00    0.043900     0.031     0.063   108.827    25.555       0b0    20190625T155441085909
  120      -4.5812      0.00        0.00    0.041813     0.000     0.000   109.567    25.555       0b0    20190625T155442056154
  110      -4.1985      0.50        1.25    0.037750     0.000     0.000   111.219    25.555       0b0    20190625T155443027122
  100      -3.8162      0.00        0.00    0.033750     0.000     0.000   113.074    25.587       0b0    20190625T155443998405
   90      -3.4350      0.00        0.00    0.029700     0.025     0.063   115.657    25.555       0b0    20190625T155444969734
   80      -3.0526      0.37        1.25    0.025688     0.000     0.000   118.837    25.587       0b0    20190625T155445933876
   70      -2.6713      0.00        0.00    0.021688     0.000     0.000   123.170    25.555       0b0    20190625T155446896077
   60      -2.2865      0.50        1.25    0.017625     0.000     0.000   129.730    25.555       0b0    20190625T155447858688
   50      -1.9050      0.00        0.00    0.013625     0.000     0.000   139.817    25.555       0b0    20190625T155448823667
   40      -1.5226      0.37        1.25    0.009625     0.000     0.000   158.195    25.555       0b0    20190625T155449786303
   30      -1.1412      0.00        0.00    0.005625     0.000     0.000   202.889    25.523       0b0    20190625T155450751648
   20      -0.7594      0.62        1.25    0.001688     0.000     0.000   450.000    25.555       0b0    20190625T155451716087
   10      -0.3775      0.00        0.00    0.000000     0.000     0.000     1.000    25.555       0b0    20190625T155452679822
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.523       0b0    20190625T155453643819
