Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.8146      0.57        1.25    0.066125     0.000     0.000    72.811    23.843    0b1111    20190409T181820382282
  120      -4.7625      0.00        0.00    0.065375     0.000     0.000    72.849    23.843    0b1111    20190409T181821338007
  110      -4.3662      0.00        0.00    0.059669     0.029     0.063    73.175    23.874    0b1111    20190409T181822290863
  100      -3.9695      0.61        1.25    0.053975     0.031     0.063    73.543    23.874    0b1111    20190409T181823245100
   90      -3.5737      0.00        0.00    0.048250     0.000     0.000    74.067    23.874    0b1111    20190409T181824200708
   80      -3.1763      0.00        0.00    0.042563     0.000     0.000    74.626    23.874    0b1111    20190409T181825156193
   70      -2.7787      0.00        0.00    0.036875     0.000     0.000    75.356    23.874    0b1111    20190409T181826110678
   60      -2.3800      0.00        0.00    0.031131     0.019     0.062    76.451    23.874    0b1111    20190409T181827068249
   50      -1.9833      0.61        1.25    0.025438     0.000     0.000    77.966    23.874    0b1111    20190409T181828024437
   40      -1.5862      0.00        0.00    0.019750     0.000     0.000    80.316    23.906    0b1111    20190409T181828979253
   30      -1.1894      0.62        1.25    0.014063     0.000     0.000    84.578    23.906    0b1111    20190409T181829935404
   20      -0.7925      0.00        0.00    0.008431     0.019     0.063    93.996    23.874    0b1111    20190409T181830892850
   10      -0.3950      0.00        0.00    0.002687     0.000     0.000   146.977    23.938    0b1111    20190409T181831848325
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.874    0b1111    20190409T181832802978
