Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7481      0.62        1.25    0.075125     0.000     0.000    63.203    24.192    0b1111    20190531T175658529586
  120      -4.5562      0.00        0.00    0.072212     0.031     0.063    63.095    24.192    0b1111    20190531T175659487412
  110      -4.1750      0.00        0.00    0.066562     0.000     0.000    62.723    24.192    0b1111    20190531T175700443282
  100      -3.7943      0.61        1.25    0.060875     0.000     0.000    62.329    24.223    0b1111    20190531T175701399519
   90      -3.4150      0.00        0.00    0.055244     0.019     0.063    61.817    24.223    0b1111    20190531T175702354755
   80      -3.0350      0.00        0.00    0.049563     0.000     0.000    61.236    24.192    0b1111    20190531T175703312454
   70      -2.6546      0.57        1.25    0.043938     0.000     0.000    60.418    24.223    0b1111    20190531T175704267472
   60      -2.2725      0.00        0.00    0.038250     0.000     0.000    59.412    24.223    0b1111    20190531T175705224293
   50      -1.8925      0.00        0.00    0.032594     0.031     0.063    58.063    24.223    0b1111    20190531T175706180672
   40      -1.5125      0.00        0.00    0.026938     0.000     0.000    56.148    24.255    0b1111    20190531T175707136759
   30      -1.1325      0.00        0.00    0.021313     0.000     0.000    53.138    24.255    0b1111    20190531T175708093161
   20      -0.7538      0.00        0.00    0.015706     0.029     0.063    47.990    24.223    0b1111    20190531T175709048604
   10      -0.3738      0.00        0.00    0.010063     0.000     0.000    37.143    24.255    0b1111    20190531T175710003853
    0      -0.0000      0.00        0.00    0.004437     0.000     0.000    -0.000    24.223    0b1111    20190531T175710959952
