Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7540      0.50        1.25    0.067500     0.000     0.000    70.430    23.431    0b1111    20190411T173254228236
  120      -4.5063      0.00        0.00    0.063813     0.000     0.000    70.617    23.462    0b1111    20190411T173255186585
  110      -4.1300      0.00        0.00    0.058250     0.000     0.000    70.901    23.462    0b1111    20190411T173256145781
  100      -3.7550      0.00        0.00    0.052687     0.000     0.000    71.269    23.462    0b1111    20190411T173257102016
   90      -3.3790      0.50        1.25    0.047125     0.000     0.000    71.703    23.494    0b1111    20190411T173258058178
   80      -3.0038      0.00        0.00    0.041563     0.000     0.000    72.271    23.494    0b1111    20190411T173259014738
   70      -2.6285      0.50        1.25    0.036000     0.000     0.000    73.014    23.494    0b1111    20190411T173259975153
   60      -2.2500      0.00        0.00    0.030437     0.000     0.000    73.922    23.494    0b1111    20190411T173300931968
   50      -1.8750      0.00        0.00    0.024931     0.019     0.063    75.207    23.494    0b1111    20190411T173301887354
   40      -1.4990      0.50        1.25    0.019375     0.000     0.000    77.368    23.526    0b1111    20190411T173302843925
   30      -1.1237      0.00        0.00    0.013875     0.000     0.000    80.991    23.494    0b1111    20190411T173303800556
   20      -0.7475      0.00        0.00    0.008375     0.000     0.000    89.254    23.494    0b1111    20190411T173304756057
   10      -0.3725      0.00        0.00    0.002875     0.000     0.000   129.565    23.494    0b1111    20190411T173305711502
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.494    0b1111    20190411T173306666380
