Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.8175      0.00        0.00    0.062931     0.019     0.063    76.552    23.145     0b111    20191206T113654064238
  120      -4.8062      0.00        0.00    0.062750     0.000     0.000    76.594    23.145     0b111    20191206T113655025803
  110      -4.4637      0.00        0.00    0.058125     0.000     0.000    76.796    23.114     0b111    20191206T113655988200
  100      -4.0562      0.00        0.00    0.052687     0.000     0.000    76.987    23.145     0b111    20191206T113656944523
   90      -3.6500      0.00        0.00    0.047238     0.025     0.063    77.269    23.145     0b111    20191206T113657905762
   80      -3.2437      0.00        0.00    0.041769     0.029     0.063    77.660    23.145     0b111    20191206T113658863612
   70      -2.8375      0.00        0.00    0.036313     0.000     0.000    78.141    23.145     0b111    20191206T113659818390
   60      -2.4288      0.00        0.00    0.030869     0.019     0.063    78.680    23.145     0b111    20191206T113700774207
   50      -2.0238      0.00        0.00    0.025438     0.000     0.000    79.558    23.145     0b111    20191206T113701734235
   40      -1.6187      0.00        0.00    0.020063     0.000     0.000    80.685    23.177     0b111    20191206T113702690218
   30      -1.2138      0.00        0.00    0.014625     0.000     0.000    82.991    23.177     0b111    20191206T113703647166
   20      -0.8078      0.50        1.25    0.009250     0.000     0.000    87.324    23.145     0b111    20191206T113704603777
   10      -0.4034      0.57        1.25    0.003869     0.019     0.063   104.265    23.145     0b111    20191206T113705560643
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.145     0b111    20191206T113706520610
