Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.24170     4.36167     24.03297      30.12048     32.62524    0b1111111111111111    20190411T151225096171
 2.24166     4.36333     24.06468      30.12048     32.65694    0b1111111111111111    20190411T151225514510
 2.24170     4.36333     24.09639      30.08878     32.65694    0b1111111111111111    20190411T151225933049
 2.24175     4.36167     26.28408      30.12048     32.65694    0b1111111111111111    20190411T151226350366
 2.24189     4.36250     27.71084      30.08878     32.65694    0b1111111111111111    20190411T151226768719
 2.24227     4.36417     29.35954      30.12048     32.68865    0b1111111111111111    20190411T151227186479
 2.24227     4.36083     31.07166      30.12048     32.68865    0b1111111111111111    20190411T151227606590
 2.24259     4.36333     33.00571      30.15219     32.72036    0b1111111111111111    20190411T151228026216
 2.24269     4.36333     34.59100      30.15219     32.72036    0b1111111111111111    20190411T151228445099
 2.24297     4.36333     36.23970      30.12048     32.72036    0b1111111111111111    20190411T151228864244
 2.24320     4.36583     37.72987      30.12048     32.75206    0b1111111111111111    20190411T151229282062
 2.24334     4.36417     39.22004      30.15219     32.75206    0b1111111111111111    20190411T151229699857
 2.24362     4.36583     36.55675      30.15219     32.75206    0b1111111111111111    20190411T151230117300
 2.24367     4.36667     41.91503      30.15219     32.75206    0b1111111111111111    20190411T151230536177
 2.24377     4.36500     43.18326      30.15219     32.75206    0b1111111111111111    20190411T151230954410
 2.24386     4.36500     44.38808      30.15219     32.75206    0b1111111111111111    20190411T151231372954
 2.24400     4.36500     45.46607      30.15219     32.75206    0b1111111111111111    20190411T151231792910
 2.24414     4.36583     46.60748      30.18389     32.75206    0b1111111111111111    20190411T151232212396
 2.24428     4.36750     47.78060      30.15219     32.81547    0b1111111111111111    20190411T151232631901
 2.24442     4.36667     49.14394      30.18389     32.78377    0b1111111111111111    20190411T151233050501
 2.24456     4.36667     50.06341      30.18389     32.78377    0b1111111111111111    20190411T151233468671
 2.24470     4.36750     50.95117      30.18389     32.78377    0b1111111111111111    20190411T151233887100
 2.24475     4.36750     51.99746      30.18389     32.78377    0b1111111111111111    20190411T151234305383
 2.24498     4.36833     53.07546      30.18389     32.78377    0b1111111111111111    20190411T151234724030
 2.24498     4.36750     53.86810      30.15219     32.81547    0b1111111111111111    20190411T151235142518
 2.24517     4.36917     54.47051      30.18389     32.81547    0b1111111111111111    20190411T151235560854
 2.24517     4.36917     54.88269      30.18389     32.78377    0b1111111111111111    20190411T151235979459
 2.24527     4.36917     55.61192      30.15219     32.81547    0b1111111111111111    20190411T151236400100
 2.24550     4.36750     56.34115      30.21560     32.81547    0b1111111111111111    20190411T151236819698
 2.24550     4.37000     56.91186      30.18389     32.81547    0b1111111111111111    20190411T151237237310
 2.24555     4.37083     57.45086      30.18389     32.81547    0b1111111111111111    20190411T151237655654
 2.24564     4.37083     58.05327      30.18389     32.81547    0b1111111111111111    20190411T151238074722
 2.24573     4.37167     58.52885      30.18389     32.81547    0b1111111111111111    20190411T151238492405
 2.24587     4.37167     58.97273      30.18389     32.81547    0b1111111111111111    20190411T151238912783
 2.24602     4.36917     59.22638      30.18389     32.81547    0b1111111111111111    20190411T151239333451
 2.24606     4.36917     59.67026      30.18389     32.84718    0b1111111111111111    20190411T151239753148
 2.24616     4.37167     60.11414      30.18389     32.81547    0b1111111111111111    20190411T151240171889
 2.24620     4.37083     60.55802      30.18389     32.81547    0b1111111111111111    20190411T151240592031
 2.24630     4.37250     60.93849      30.21560     32.81547    0b1111111111111111    20190411T151241011144
 2.24634     4.36833     61.38237      30.21560     32.81547    0b1111111111111111    20190411T151241428863
 2.24653     4.37250     61.73114      30.18389     32.84718    0b1111111111111111    20190411T151241846861
 2.24653     4.37083     62.07990      30.21560     32.81547    0b1111111111111111    20190411T151242264232
 2.24667     4.37250     62.30184      30.24731     32.84718    0b1111111111111111    20190411T151242683484
 2.24672     4.37250     62.68231      30.21560     32.87888    0b1111111111111111    20190411T151243103399
 2.24677     4.37000     62.93595      30.18389     32.84718    0b1111111111111111    20190411T151243523263
 2.24691     4.37250     63.22131      30.21560     32.87888    0b1111111111111111    20190411T151243942327
 2.24691     4.37500     63.50666      30.18389     32.87888    0b1111111111111111    20190411T151244360743
 2.24695     4.37500     63.72860      30.24731     32.87888    0b1111111111111111    20190411T151244779431
 2.24695     4.37417     63.82372      30.21560     32.87888    0b1111111111111111    20190411T151245197687
 2.24719     4.37500     64.07736      30.21560     32.84718    0b1111111111111111    20190411T151245615948
 2.24714     4.37167     64.29930      30.21560     32.84718    0b1111111111111111    20190411T151246033412
 2.24723     4.37250     64.55295      30.21560     32.84718    0b1111111111111111    20190411T151246451931
 2.24728     4.37333     64.64807      30.21560     32.84718    0b1111111111111111    20190411T151246871158
 2.24728     4.37333     64.77489      30.18389     32.87888    0b1111111111111111    20190411T151247291940
 2.24733     4.37250     65.02854      30.24731     32.84718    0b1111111111111111    20190411T151247711441
 2.24728     4.37333     65.15536      30.24731     32.87888    0b1111111111111111    20190411T151248130506
 2.24742     4.37583     65.37730      30.21560     32.84718    0b1111111111111111    20190411T151248546923
 2.24747     4.37667     65.66265      30.24731     32.87888    0b1111111111111111    20190411T151248966344
 2.24752     4.37417     65.85289      30.21560     32.87888    0b1111111111111111    20190411T151249385641
 2.24752     4.37417     66.20165      30.21560     32.87888    0b1111111111111111    20190411T151249804006
 1.40583     3.06583     66.42359      30.24731     32.87888    0b1111111111111111    20190411T151250221999
 0.00000    -0.06583     66.77235      30.24731     32.87888    0b1111111111111111    20190411T151250640475
