Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.23031     4.33667     22.70133      29.67660     32.14965    0b1111111111111111    20191209T171523944025
 2.23036     4.33583     22.73304      29.67660     32.18136    0b1111111111111111    20191209T171524366125
 2.23031     4.33583     22.70133      29.64490     32.14965    0b1111111111111111    20191209T171524788196
 2.23036     4.33583     22.73304      29.67660     32.18136    0b1111111111111111    20191209T171525210851
 2.23036     4.33750     22.73304      29.67660     32.18136    0b1111111111111111    20191209T171525633053
 2.23027     4.33583     22.73304      29.70831     32.18136    0b1111111111111111    20191209T171526055252
 2.23041     4.33833     22.73304      29.67660     32.18136    0b1111111111111111    20191209T171526477690
 2.23031     4.33500     22.73304      29.67660     32.21306    0b1111111111111111    20191209T171526898257
 2.23041     4.33750     22.92327      29.70831     32.18136    0b1111111111111111    20191209T171527319897
 2.23069     4.33833     24.15980      29.70831     32.18136    0b1111111111111111    20191209T171527738680
 2.23106     4.33667     25.90361      29.70831     32.21306    0b1111111111111111    20191209T171528161036
 2.23153     4.33917     27.80596      29.70831     32.21306    0b1111111111111111    20191209T171528580865
 2.23200     4.33833     29.61319      29.70831     32.21306    0b1111111111111111    20191209T171529002288
 2.23247     4.33917     31.32530      29.70831     32.21306    0b1111111111111111    20191209T171529423504
 2.23298     4.34000     32.97400      29.70831     32.21306    0b1111111111111111    20191209T171529845238
 2.23341     4.34167     34.55929      29.70831     32.21306    0b1111111111111111    20191209T171530264699
 2.23369     4.34083     36.11287      29.74001     32.24477    0b1111111111111111    20191209T171530683873
 2.23416     4.34417     37.44451      29.70831     32.24477    0b1111111111111111    20191209T171531105053
 2.23458     4.34333     38.68104      29.70831     32.24477    0b1111111111111111    20191209T171531524459
 2.23481     4.34417     39.91756      29.70831     32.24477    0b1111111111111111    20191209T171531945692
 2.23528     4.34417     41.15409      29.70831     32.21306    0b1111111111111111    20191209T171532367483
 2.23561     4.34667     42.26379      29.70831     32.24477    0b1111111111111111    20191209T171532786998
 2.23575     4.34583     43.27838      29.70831     32.24477    0b1111111111111111    20191209T171533206976
 2.23603     4.34667     44.22955      29.70831     32.24477    0b1111111111111111    20191209T171533629473
 2.23631     4.34667     45.14902      29.74001     32.24477    0b1111111111111111    20191209T171534050585
 2.23659     4.34750     46.00507      29.74001     32.27647    0b1111111111111111    20191209T171534470877
 2.23673     4.34833     46.82942      29.74001     32.27647    0b1111111111111111    20191209T171534891553
 2.23702     4.34750     47.59036      29.70831     32.24477    0b1111111111111111    20191209T171535311025
 2.23720     4.35000     48.54153      29.70831     32.27647    0b1111111111111111    20191209T171535732146
 2.23734     4.35000     49.14394      29.74001     32.24477    0b1111111111111111    20191209T171536155685
 2.23758     4.34917     49.90488      29.70831     32.27647    0b1111111111111111    20191209T171536576319
