Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7563      0.00        0.00    0.045225     0.031     0.062   105.169    25.174       0b0    20190522T151824620931
  120      -4.5396      0.57        1.25    0.042875     0.000     0.000   105.880    25.206       0b0    20190522T151825576647
  110      -4.1589      0.37        1.25    0.038875     0.000     0.000   106.981    25.206       0b0    20190522T151826532870
  100      -3.7800      0.00        0.00    0.034863     0.025     0.063   108.426    25.206       0b0    20190522T151827492360
   90      -3.4014      0.37        1.25    0.030812     0.000     0.000   110.389    25.206       0b0    20190522T151828450558
   80      -3.0225      0.00        0.00    0.026812     0.000     0.000   112.727    25.206       0b0    20190522T151829408080
   70      -2.6425      0.00        0.00    0.022813     0.000     0.000   115.836    25.174       0b0    20190522T151830366018
   60      -2.2612      0.00        0.00    0.018769     0.029     0.063   120.480    25.206       0b0    20190522T151831322798
   50      -1.8825      0.00        0.00    0.014788     0.031     0.063   127.303    25.174       0b0    20190522T151832281867
   40      -1.5038      0.00        0.00    0.010813     0.000     0.000   139.075    25.174       0b0    20190522T151833237343
   30      -1.1250      0.00        0.00    0.006813     0.000     0.000   165.138    25.174       0b0    20190522T151834194752
   20      -0.7467      0.61        1.25    0.002875     0.000     0.000   259.739    25.174       0b0    20190522T151835153231
   10      -0.3685      0.50        1.25    0.000000     0.000     0.000     1.000    25.174       0b0    20190522T151836111090
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.174       0b0    20190522T151837068316
