Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7638      0.00        0.00    0.091438     0.000     0.000    52.098    24.223    0b1001    20190909T103308983271
  120      -4.7325      0.00        0.00    0.090875     0.000     0.000    52.077    24.223    0b1001    20190909T103309946614
  110      -4.3387      0.00        0.00    0.084125     0.000     0.000    51.575    24.255    0b1001    20190909T103310909409
  100      -3.9439      0.38        1.25    0.077438     0.000     0.000    50.930    24.255    0b1001    20190909T103311873465
   90      -3.5501      0.37        1.25    0.070750     0.000     0.000    50.178    24.255    0b1001    20190909T103312837345
   80      -3.1562      0.00        0.00    0.064119     0.019     0.063    49.225    24.223    0b1001    20190909T103313802557
   70      -2.7625      0.00        0.00    0.057437     0.000     0.000    48.096    24.255    0b1001    20190909T103314770127
   60      -2.3663      0.00        0.00    0.050750     0.000     0.000    46.626    24.223    0b1001    20190909T103315735526
   50      -1.9725      0.00        0.00    0.044062     0.000     0.000    44.766    24.255    0b1001    20190909T103316701263
   40      -1.5782      0.61        1.25    0.037438     0.000     0.000    42.157    24.255    0b1001    20190909T103317665967
   30      -1.1840      0.50        1.25    0.030781     0.031     0.063    38.465    24.255    0b1001    20190909T103318633229
   20      -0.7900      0.00        0.00    0.024181     0.019     0.063    32.670    24.223    0b1001    20190909T103319597472
   10      -0.3970      0.61        1.25    0.017500     0.000     0.000    22.686    24.223    0b1001    20190909T103320563828
    0      -0.0025      0.00        0.00    0.010875     0.000     0.000     0.230    24.223    0b1001    20190909T103321529868
