Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7889      0.37        1.25    0.068625     0.000     0.000    69.783    25.745    0b1111    20190605T161131349711
  120      -4.5213      0.00        0.00    0.064675     0.025     0.062    69.907    25.745    0b1111    20190605T161132309975
  110      -4.1425      0.00        0.00    0.059144     0.029     0.063    70.041    25.745    0b1111    20190605T161133267965
  100      -3.7663      0.00        0.00    0.053625     0.000     0.000    70.233    25.745    0b1111    20190605T161134227050
   90      -3.3900      0.00        0.00    0.048125     0.000     0.000    70.442    25.745    0b1111    20190605T161135184275
   80      -3.0138      0.00        0.00    0.042625     0.000     0.000    70.704    25.745    0b1111    20190605T161136142814
   70      -2.6362      0.00        0.00    0.037125     0.000     0.000    71.010    25.745    0b1111    20190605T161137101153
   60      -2.2574      0.37        1.25    0.031563     0.000     0.000    71.521    25.777    0b1111    20190605T161138058401
   50      -1.8800      0.00        0.00    0.026062     0.000     0.000    72.134    25.777    0b1111    20190605T161139013125
   40      -1.5038      0.00        0.00    0.020563     0.000     0.000    73.131    25.777    0b1111    20190605T161139970827
   30      -1.1275      0.00        0.00    0.015063     0.000     0.000    74.855    25.745    0b1111    20190605T161140928799
   20      -0.7500      0.00        0.00    0.009581     0.029     0.063    78.278    25.777    0b1111    20190605T161141887705
   10      -0.3738      0.00        0.00    0.004062     0.000     0.000    92.000    25.777    0b1111    20190605T161142848144
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.777    0b1111    20190605T161143808058
