Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7900      0.00        0.00    0.059063     0.000     0.000    81.101    23.716     0b111    20190412T143028076707
  120      -4.6476      0.37        1.25    0.057125     0.000     0.000    81.359    23.748     0b111    20190412T143029033141
  110      -4.2594      0.62        1.25    0.051875     0.000     0.000    82.108    23.779     0b111    20190412T143029989741
  100      -3.8716      0.57        1.25    0.046625     0.000     0.000    83.038    23.748     0b111    20190412T143030953612
   90      -3.4850      0.00        0.00    0.041375     0.000     0.000    84.230    23.748     0b111    20190412T143031918828
   80      -3.0975      0.00        0.00    0.036150     0.031     0.062    85.685    23.748     0b111    20190412T143032882777
   70      -2.7088      0.00        0.00    0.030919     0.029     0.062    87.609    23.779     0b111    20190412T143033849420
   60      -2.3188      0.00        0.00    0.025675     0.025     0.063    90.312    23.811     0b111    20190412T143034813531
   50      -1.9312      0.00        0.00    0.020438     0.000     0.000    94.495    23.779     0b111    20190412T143035776392
   40      -1.5437      0.00        0.00    0.015188     0.000     0.000   101.646    23.779     0b111    20190412T143036744117
   30      -1.1562      0.00        0.00    0.010000     0.000     0.000   115.625    23.811     0b111    20190412T143037707654
   20      -0.7697      0.50        1.25    0.004812     0.000     0.000   159.948    23.779     0b111    20190412T143038671612
   10      -0.3813      0.00        0.00    0.000000     0.000     0.000     1.000    23.811     0b111    20190412T143039630228
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.811     0b111    20190412T143040588297
