Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7729      0.57        1.25    0.073063     0.000     0.000    65.326    24.128    0b1111    20190412T154520622532
  120      -4.6585      0.50        1.25    0.071313     0.000     0.000    65.325    24.128    0b1111    20190412T154521577846
  110      -4.2687      0.00        0.00    0.065625     0.000     0.000    65.048    24.160    0b1111    20190412T154522532330
  100      -3.8800      0.00        0.00    0.059875     0.000     0.000    64.802    24.160    0b1111    20190412T154523485853
   90      -3.4925      0.00        0.00    0.054187     0.000     0.000    64.452    24.160    0b1111    20190412T154524440588
   80      -3.1038      0.00        0.00    0.048438     0.000     0.000    64.077    24.160    0b1111    20190412T154525398448
   70      -2.7150      0.00        0.00    0.042750     0.000     0.000    63.509    24.192    0b1111    20190412T154526353415
   60      -2.3250      0.00        0.00    0.037000     0.000     0.000    62.838    24.192    0b1111    20190412T154527308628
   50      -1.9363      0.00        0.00    0.031313     0.000     0.000    61.836    24.160    0b1111    20190412T154528263290
   40      -1.5488      0.00        0.00    0.025606     0.029     0.063    60.483    24.192    0b1111    20190412T154529218473
   30      -1.1613      0.00        0.00    0.019888     0.025     0.063    58.391    24.192    0b1111    20190412T154530173924
   20      -0.7725      0.00        0.00    0.014250     0.000     0.000    54.211    24.192    0b1111    20190412T154531129068
   10      -0.3850      0.00        0.00    0.008500     0.000     0.000    45.294    24.192    0b1111    20190412T154532082928
    0      -0.0000      0.00        0.00    0.002812     0.000     0.000    -0.000    24.192    0b1111    20190412T154533039288
