Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7912      0.00        0.00    0.072750     0.000     0.000    65.859    24.096    0b1111    20190412T131259588957
  120      -4.7788      0.00        0.00    0.072556     0.019     0.063    65.863    24.096    0b1111    20190412T131300543682
  110      -4.4025      0.00        0.00    0.066919     0.029     0.063    65.789    24.128    0b1111    20190412T131301498666
  100      -4.0025      0.00        0.00    0.060937     0.000     0.000    65.682    24.128    0b1111    20190412T131302454402
   90      -3.6038      0.00        0.00    0.055000     0.000     0.000    65.523    24.128    0b1111    20190412T131303411509
   80      -3.2038      0.00        0.00    0.049063     0.000     0.000    65.299    24.128    0b1111    20190412T131304365868
   70      -2.8025      0.00        0.00    0.043100     0.031     0.063    65.023    24.128    0b1111    20190412T131305319622
   60      -2.4000      0.00        0.00    0.037125     0.000     0.000    64.646    24.128    0b1111    20190412T131306273674
   50      -2.0002      0.50        1.25    0.031187     0.000     0.000    64.136    24.128    0b1111    20190412T131307229909
   40      -1.6008      0.61        1.25    0.025275     0.031     0.062    63.333    24.128    0b1111    20190412T131308185643
   30      -1.2000      0.00        0.00    0.019363     0.025     0.063    61.975    24.128    0b1111    20190412T131309141253
   20      -0.8000      0.00        0.00    0.013438     0.000     0.000    59.535    24.128    0b1111    20190412T131310095908
   10      -0.3988      0.00        0.00    0.007519     0.029     0.063    53.034    24.160    0b1111    20190412T131311052260
    0      -0.0000      0.00        0.00    0.001625     0.000     0.000    -0.000    24.160    0b1111    20190412T131312008844
