Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7965      0.50        1.25    0.073625     0.000     0.000    65.148    24.065    0b1001    20190523T110121215885
  120      -4.5910      0.50        1.25    0.070125     0.000     0.000    65.469    24.096    0b1001    20190523T110122174826
  110      -4.2065      0.50        1.25    0.063750     0.000     0.000    65.984    24.128    0b1001    20190523T110123135736
  100      -3.8237      0.00        0.00    0.057375     0.000     0.000    66.645    24.128    0b1001    20190523T110124093803
   90      -3.4413      0.00        0.00    0.051000     0.000     0.000    67.475    24.096    0b1001    20190523T110125052940
   80      -3.0585      0.50        1.25    0.044625     0.000     0.000    68.538    24.128    0b1001    20190523T110126010055
   70      -2.6750      0.00        0.00    0.038250     0.000     0.000    69.935    24.128    0b1001    20190523T110126969889
   60      -2.2900      0.00        0.00    0.031813     0.000     0.000    71.984    24.096    0b1001    20190523T110127926874
   50      -1.9075      0.00        0.00    0.025438     0.000     0.000    74.988    24.128    0b1001    20190523T110128882657
   40      -1.5250      0.00        0.00    0.019063     0.000     0.000    80.000    24.128    0b1001    20190523T110129842659
   30      -1.1425      0.00        0.00    0.012725     0.031     0.063    89.784    24.096    0b1001    20190523T110130801482
   20      -0.7588      0.00        0.00    0.006375     0.000     0.000   119.020    24.128    0b1001    20190523T110131761721
   10      -0.3763      0.00        0.00    0.000063     0.000     0.000  6020.000    24.096    0b1001    20190523T110132719673
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.128    0b1001    20190523T110133677514
