Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7700      0.00        0.00    0.059688     0.000     0.000    79.916    24.794     0b111    20190603T153914319441
  120      -4.5075      0.00        0.00    0.056000     0.000     0.000    80.491    24.826     0b111    20190603T153915279194
  110      -4.1304      0.57        1.25    0.050787     0.031     0.063    81.327    24.794     0b111    20190603T153916233684
  100      -3.7550      0.00        0.00    0.045562     0.000     0.000    82.414    24.826     0b111    20190603T153917191919
   90      -3.3800      0.00        0.00    0.040375     0.000     0.000    83.715    24.857     0b111    20190603T153918149853
   80      -3.0038      0.00        0.00    0.035144     0.029     0.062    85.470    24.826     0b111    20190603T153919108498
   70      -2.6278      0.50        1.25    0.029950     0.025     0.063    87.738    24.826     0b111    20190603T153920074092
   60      -2.2500      0.00        0.00    0.024750     0.000     0.000    90.909    24.857     0b111    20190603T153921041466
   50      -1.8738      0.00        0.00    0.019563     0.000     0.000    95.783    24.857     0b111    20190603T153922005434
   40      -1.4979      0.57        1.25    0.014375     0.000     0.000   104.200    24.857     0b111    20190603T153922964211
   30      -1.1225      0.00        0.00    0.009225     0.031     0.063   121.680    24.826     0b111    20190603T153923926266
   20      -0.7475      0.00        0.00    0.004125     0.000     0.000   181.212    24.857     0b111    20190603T153924885538
   10      -0.3712      0.00        0.00    0.000000     0.000     0.000     1.000    24.857     0b111    20190603T153925842578
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.857     0b111    20190603T153926800760
