Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7729      0.57        1.25    0.057063     0.000     0.000    83.643    24.509       0b0    20190521T145921199134
  120      -4.6271      0.57        1.25    0.055500     0.000     0.000    83.372    24.572       0b0    20190521T145922157884
  110      -4.2400      0.00        0.00    0.051438     0.000     0.000    82.430    24.540       0b0    20190521T145923117460
  100      -3.8550      0.00        0.00    0.047425     0.025     0.063    81.286    24.509       0b0    20190521T145924077102
   90      -3.4694      0.63        1.25    0.043375     0.000     0.000    79.986    24.509       0b0    20190521T145925035689
   80      -3.0838      0.00        0.00    0.039325     0.025     0.063    78.417    24.509       0b0    20190521T145925995450
   70      -2.6975      0.00        0.00    0.035313     0.000     0.000    76.389    24.540       0b0    20190521T145926954430
   60      -2.3100      0.00        0.00    0.031250     0.000     0.000    73.920    24.540       0b0    20190521T145927912708
   50      -1.9237      0.00        0.00    0.027188     0.000     0.000    70.759    24.509       0b0    20190521T145928870248
   40      -1.5388      0.00        0.00    0.023175     0.025     0.063    66.397    24.509       0b0    20190521T145929826915
   30      -1.1525      0.00        0.00    0.019125     0.000     0.000    60.261    24.509       0b0    20190521T145930791768
   20      -0.7663      0.00        0.00    0.015125     0.000     0.000    50.661    24.540       0b0    20190521T145931759325
   10      -0.3813      0.00        0.00    0.011094     0.031     0.063    34.366    24.509       0b0    20190521T145932721042
    0      -0.0000      0.00        0.00    0.007063     0.000     0.000    -0.000    24.509       0b0    20190521T145933678032
