Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7750      0.00        0.00    0.074750     0.000     0.000    63.880    28.567    0b1001    20190610T113220653716
  120      -4.6787      0.00        0.00    0.073063     0.000     0.000    64.038    28.567    0b1001    20190610T113221612581
  110      -4.2875      0.00        0.00    0.066475     0.031     0.062    64.498    28.599    0b1001    20190610T113222574275
  100      -3.8975      0.00        0.00    0.059906     0.031     0.063    65.060    28.599    0b1001    20190610T113223535272
   90      -3.5088      0.00        0.00    0.053375     0.000     0.000    65.738    28.567    0b1001    20190610T113224494040
   80      -3.1187      0.00        0.00    0.046812     0.000     0.000    66.622    28.599    0b1001    20190610T113225452300
   70      -2.7288      0.00        0.00    0.040250     0.000     0.000    67.795    28.630    0b1001    20190610T113226411630
   60      -2.3363      0.00        0.00    0.033687     0.000     0.000    69.351    28.599    0b1001    20190610T113227373577
   50      -1.9462      0.00        0.00    0.027125     0.000     0.000    71.751    28.599    0b1001    20190610T113228331729
   40      -1.5573      0.50        1.25    0.020625     0.000     0.000    75.503    28.630    0b1001    20190610T113229289522
   30      -1.1675      0.00        0.00    0.014119     0.019     0.063    82.691    28.630    0b1001    20190610T113230248948
   20      -0.7775      0.00        0.00    0.007625     0.000     0.000   101.967    28.599    0b1001    20190610T113231207680
   10      -0.3875      0.00        0.00    0.001125     0.000     0.000   344.444    28.630    0b1001    20190610T113232169175
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    28.630    0b1001    20190610T113233128653
