Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7837      0.00        0.00    0.067562     0.000     0.000    70.805    23.240     0b111    20190603T122241931819
  120      -4.6756      0.63        1.25    0.066063     0.000     0.000    70.776    23.209     0b111    20190603T122242890045
  110      -4.2850      0.00        0.00    0.060688     0.000     0.000    70.608    23.209     0b111    20190603T122243849434
  100      -3.8963      0.00        0.00    0.055375     0.000     0.000    70.361    23.209     0b111    20190603T122244811441
   90      -3.5076      0.37        1.25    0.050006     0.019     0.062    70.144    23.240     0b111    20190603T122245770612
   80      -3.1187      0.00        0.00    0.044687     0.000     0.000    69.790    23.240     0b111    20190603T122246728767
   70      -2.7288      0.00        0.00    0.039363     0.025     0.063    69.324    23.240     0b111    20190603T122247687597
   60      -2.3375      0.00        0.00    0.034000     0.000     0.000    68.750    23.240     0b111    20190603T122248647994
   50      -1.9477      0.50        1.25    0.028650     0.031     0.062    67.984    23.240     0b111    20190603T122249611592
   40      -1.5579      0.57        1.25    0.023313     0.000     0.000    66.826    23.272     0b111    20190603T122250570665
   30      -1.1687      0.00        0.00    0.018000     0.000     0.000    64.931    23.272     0b111    20190603T122251527904
   20      -0.7788      0.00        0.00    0.012688     0.000     0.000    61.379    23.240     0b111    20190603T122252488803
   10      -0.3900      0.00        0.00    0.007375     0.000     0.000    52.881    23.240     0b111    20190603T122253448009
    0      -0.0000      0.00        0.00    0.002063     0.000     0.000    -0.000    23.240     0b111    20190603T122254405025
