Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7788      0.00        0.00    0.063250     0.000     0.000    75.553    29.994       0b0    20190612T160232778089
  120      -4.5025      0.00        0.00    0.060313     0.000     0.000    74.653    29.994       0b0    20190612T160233737394
  110      -4.1264      0.38        1.25    0.056375     0.000     0.000    73.195    29.994       0b0    20190612T160234693958
  100      -3.7521      0.57        1.25    0.052500     0.000     0.000    71.469    29.962       0b0    20190612T160235651995
   90      -3.3775      0.00        0.00    0.048563     0.000     0.000    69.550    29.994       0b0    20190612T160236608643
   80      -3.0012      0.00        0.00    0.044669     0.029     0.063    67.189    29.930       0b0    20190612T160237565102
   70      -2.6255      0.61        1.25    0.040750     0.000     0.000    64.429    29.962       0b0    20190612T160238531515
   60      -2.2475      0.00        0.00    0.036813     0.000     0.000    61.053    29.930       0b0    20190612T160239500509
   50      -1.8725      0.00        0.00    0.032938     0.000     0.000    56.850    29.962       0b0    20190612T160240459337
   40      -1.4975      0.00        0.00    0.029025     0.031     0.063    51.593    29.930       0b0    20190612T160241416835
   30      -1.1225      0.00        0.00    0.025125     0.000     0.000    44.677    29.930       0b0    20190612T160242378282
   20      -0.7474      0.38        1.25    0.021313     0.000     0.000    35.067    29.930       0b0    20190612T160243336920
   10      -0.3712      0.00        0.00    0.017394     0.029     0.063    21.344    29.930       0b0    20190612T160244295524
    0      -0.0000      0.00        0.00    0.013500     0.000     0.000    -0.000    29.930       0b0    20190612T160245253602
