Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7850      0.00        0.00    0.070375     0.000     0.000    67.993    24.667     0b111    20190618T173204031912
  120      -4.5337      0.00        0.00    0.066937     0.000     0.000    67.731    24.667     0b111    20190618T173204997005
  110      -4.1559      0.57        1.25    0.061813     0.000     0.000    67.234    24.667     0b111    20190618T173205958970
  100      -3.7788      0.00        0.00    0.056637     0.025     0.063    66.718    24.667     0b111    20190618T173206927850
   90      -3.4013      0.00        0.00    0.051500     0.000     0.000    66.044    24.667     0b111    20190618T173207892463
   80      -3.0229      0.57        1.25    0.046375     0.000     0.000    65.183    24.667     0b111    20190618T173208855919
   70      -2.6450      0.00        0.00    0.041250     0.000     0.000    64.121    24.667     0b111    20190618T173209822283
   60      -2.2646      0.57        1.25    0.036063     0.000     0.000    62.797    24.667     0b111    20190618T173210785883
   50      -1.8862      0.00        0.00    0.030969     0.031     0.063    60.908    24.667     0b111    20190618T173211751029
   40      -1.5087      0.00        0.00    0.025875     0.000     0.000    58.309    24.667     0b111    20190618T173212716889
   30      -1.1312      0.00        0.00    0.020750     0.000     0.000    54.518    24.699     0b111    20190618T173213682240
   20      -0.7538      0.00        0.00    0.015687     0.000     0.000    48.048    24.667     0b111    20190618T173214646731
   10      -0.3763      0.00        0.00    0.010563     0.000     0.000    35.621    24.667     0b111    20190618T173215612823
    0      -0.0000      0.00        0.00    0.005437     0.000     0.000    -0.000    24.667     0b111    20190618T173216578450
