Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7625      0.00        0.00    0.081625     0.000     0.000    58.346    24.255    0b1001    20181030T135049904568
  120      -4.6744      0.62        1.25    0.080113     0.025     0.062    58.348    24.255    0b1001    20181030T135050860598
  110      -4.2837      0.00        0.00    0.073562     0.000     0.000    58.233    24.287    0b1001    20181030T135051819494
  100      -3.8936      0.38        1.25    0.067063     0.000     0.000    58.060    24.287    0b1001    20181030T135052776351
   90      -3.5038      0.00        0.00    0.060506     0.019     0.063    57.907    24.287    0b1001    20181030T135053731001
   80      -3.1147      0.50        1.25    0.054000     0.000     0.000    57.681    24.287    0b1001    20181030T135054686483
   70      -2.7248      0.50        1.25    0.047500     0.000     0.000    57.363    24.287    0b1001    20181030T135055645468
   60      -2.3325      0.00        0.00    0.040938     0.000     0.000    56.977    24.255    0b1001    20181030T135056601452
   50      -1.9425      0.00        0.00    0.034438     0.000     0.000    56.407    24.287    0b1001    20181030T135057557686
   40      -1.5538      0.00        0.00    0.027919     0.029     0.062    55.653    24.287    0b1001    20181030T135058511545
   30      -1.1649      0.37        1.25    0.021375     0.000     0.000    54.497    24.287    0b1001    20181030T135059467252
   20      -0.7750      0.00        0.00    0.014938     0.000     0.000    51.883    24.255    0b1001    20181030T135100423476
   10      -0.3857      0.61        1.25    0.008419     0.029     0.063    45.820    24.255    0b1001    20181030T135101377000
    0      -0.0000      0.00        0.00    0.001925     0.025     0.063    -0.000    24.287    0b1001    20181030T135102331947
