Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7950      0.00        0.00    0.076562     0.000     0.000    62.629    25.713     0b111    20181016T142512065283
  120      -4.7362      0.00        0.00    0.075750     0.000     0.000    62.525    25.682     0b111    20181016T142513020491
  110      -4.3413      0.00        0.00    0.070312     0.000     0.000    61.742    25.682     0b111    20181016T142513975936
  100      -3.9463      0.00        0.00    0.064875     0.000     0.000    60.829    25.713     0b111    20181016T142514933460
   90      -3.5525      0.00        0.00    0.059481     0.029     0.063    59.725    25.682     0b111    20181016T142515888657
   80      -3.1576      0.37        1.25    0.054062     0.000     0.000    58.407    25.713     0b111    20181016T142516843679
   70      -2.7638      0.00        0.00    0.048644     0.029     0.063    56.816    25.713     0b111    20181016T142517800141
   60      -2.3672      0.50        1.25    0.043187     0.000     0.000    54.813    25.682     0b111    20181016T142518757648
   50      -1.9725      0.00        0.00    0.037813     0.000     0.000    52.165    25.682     0b111    20181016T142519714248
   40      -1.5787      0.00        0.00    0.032438     0.000     0.000    48.671    25.682     0b111    20181016T142520669493
   30      -1.1850      0.00        0.00    0.027006     0.019     0.062    43.879    25.682     0b111    20181016T142521626199
   20      -0.7912      0.00        0.00    0.021688     0.000     0.000    36.484    25.682     0b111    20181016T142522583046
   10      -0.3975      0.00        0.00    0.016262     0.025     0.063    24.443    25.650     0b111    20181016T142523541532
    0      -0.0025      0.00        0.00    0.010875     0.000     0.000     0.230    25.682     0b111    20181016T142524496931
