Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7620      0.61        1.25    0.094250     0.000     0.000    50.525    29.613    0b1001    20190610T155651807614
  120      -4.5800      0.00        0.00    0.091063     0.000     0.000    50.295    29.613    0b1001    20190610T155652766975
  110      -4.1971      0.57        1.25    0.084562     0.000     0.000    49.633    29.613    0b1001    20190610T155653726872
  100      -3.8150      0.00        0.00    0.078063     0.000     0.000    48.871    29.581    0b1001    20190610T155654685939
   90      -3.4337      0.00        0.00    0.071562     0.000     0.000    47.983    29.613    0b1001    20190610T155655642892
   80      -3.0513      0.00        0.00    0.065100     0.031     0.063    46.870    29.613    0b1001    20190610T155656602403
   70      -2.6687      0.00        0.00    0.058625     0.000     0.000    45.522    29.613    0b1001    20190610T155657562307
   60      -2.2849      0.38        1.25    0.052125     0.000     0.000    43.835    29.613    0b1001    20190610T155658521020
   50      -1.9025      0.00        0.00    0.045625     0.000     0.000    41.699    29.645    0b1001    20190610T155659480865
   40      -1.5212      0.00        0.00    0.039187     0.000     0.000    38.820    29.645    0b1001    20190610T155700441903
   30      -1.1387      0.00        0.00    0.032750     0.000     0.000    34.771    29.645    0b1001    20190610T155701403632
   20      -0.7556      0.62        1.25    0.026325     0.025     0.063    28.704    29.613    0b1001    20190610T155702363739
   10      -0.3738      0.00        0.00    0.019887     0.025     0.063    18.793    29.613    0b1001    20190610T155703322689
    0      -0.0000      0.00        0.00    0.013438     0.000     0.000    -0.000    29.613    0b1001    20190610T155704276201
