Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7762      0.00        0.00    0.056500     0.000     0.000    84.535    23.970     0b111    20181005T164448469097
  120      -4.5537      0.00        0.00    0.053394     0.029     0.063    85.286    24.001     0b111    20181005T164449517818
  110      -4.1727      0.50        1.25    0.048188     0.000     0.000    86.594    23.970     0b111    20181005T164450566291
  100      -3.7938      0.00        0.00    0.042938     0.000     0.000    88.355    24.001     0b111    20181005T164451616169
   90      -3.4140      0.50        1.25    0.037731     0.029     0.063    90.482    24.033     0b111    20181005T164452664820
   80      -3.0347      0.50        1.25    0.032500     0.000     0.000    93.377    24.033     0b111    20181005T164453715130
   70      -2.6537      0.00        0.00    0.027269     0.029     0.062    97.318    24.033     0b111    20181005T164454764603
   60      -2.2725      0.00        0.00    0.022038     0.031     0.063   103.120    24.033     0b111    20181005T164455814387
   50      -1.8925      0.00        0.00    0.016819     0.019     0.063   112.523    24.033     0b111    20181005T164456862823
   40      -1.5146      0.57        1.25    0.011625     0.000     0.000   130.290    24.033     0b111    20181005T164457911183
   30      -1.1350      0.00        0.00    0.006438     0.000     0.000   176.311    24.033     0b111    20181005T164458959648
   20      -0.7561      0.37        1.25    0.001312     0.000     0.000   576.095    24.033     0b111    20181005T164500008290
   10      -0.3773      0.50        1.25    0.000000     0.000     0.000     1.000    24.033     0b111    20181005T164501056870
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.033     0b111    20181005T164502106100
