Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7675      0.00        0.00    0.053500     0.000     0.000    89.112    29.518       0b0    20190612T150452869846
  120      -4.5784      0.57        1.25    0.051475     0.031     0.063    88.944    29.550       0b0    20190612T150453829068
  110      -4.1951      0.37        1.25    0.047413     0.031     0.063    88.481    29.518       0b0    20190612T150454788307
  100      -3.8139      0.37        1.25    0.043344     0.031     0.063    87.991    29.550       0b0    20190612T150455751170
   90      -3.4336      0.37        1.25    0.039312     0.000     0.000    87.342    29.518       0b0    20190612T150456710308
   80      -3.0514      0.38        1.25    0.035250     0.000     0.000    86.564    29.518       0b0    20190612T150457667634
   70      -2.6700      0.00        0.00    0.031206     0.029     0.063    85.560    29.486       0b0    20190612T150458625620
   60      -2.2862      0.00        0.00    0.027125     0.000     0.000    84.286    29.518       0b0    20190612T150459584214
   50      -1.9040      0.50        1.25    0.023125     0.000     0.000    82.335    29.550       0b0    20190612T150500541056
   40      -1.5225      0.00        0.00    0.019063     0.000     0.000    79.869    29.518       0b0    20190612T150501497788
   30      -1.1415      0.50        1.25    0.015063     0.000     0.000    75.784    29.486       0b0    20190612T150502455652
   20      -0.7600      0.00        0.00    0.011063     0.000     0.000    68.701    29.486       0b0    20190612T150503413805
   10      -0.3788      0.00        0.00    0.007006     0.019     0.063    54.059    29.518       0b0    20190612T150504376412
    0      -0.0000      0.00        0.00    0.003000     0.000     0.000    -0.000    29.518       0b0    20190612T150505334615
